offset,duration_ppq,pitch
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
144.21430975,0.016,67.0
