Trainer done: <tpg.trainer.Trainer object at 0x0000024E1C5B3E10>
Gen: 0, Best Score: -836.6034846792705, Avg Score: -inf, Time: 0.025353973507881166
Gen: 1, Best Score: -825.3552432594468, Avg Score: -inf, Time: 0.05114217393928104
Gen: 2, Best Score: -788.5607978087785, Avg Score: -inf, Time: 0.07442159599728054
Gen: 3, Best Score: -716.5795861938939, Avg Score: -inf, Time: 0.09699301077259911
Gen: 4, Best Score: -727.0869585593435, Avg Score: -inf, Time: 0.11724613315529293
Gen: 5, Best Score: -697.4979301997723, Avg Score: -inf, Time: 0.13659050219588809
Gen: 6, Best Score: -701.3490055544864, Avg Score: -inf, Time: 0.15425849378108977
Gen: 7, Best Score: -696.2238090385447, Avg Score: -inf, Time: 0.1710182476705975
Gen: 8, Best Score: -742.5008328694828, Avg Score: -inf, Time: 0.18890257974465688
Gen: 9, Best Score: -702.6434037059211, Avg Score: -inf, Time: 0.20473163452413348
Gen: 10, Best Score: -706.2764035940567, Avg Score: -inf, Time: 0.22185191949208577
Gen: 11, Best Score: -486.77900036896324, Avg Score: -inf, Time: 0.23928705155849456
Gen: 12, Best Score: -432.97434679943007, Avg Score: -inf, Time: 0.25709141194820406
Gen: 13, Best Score: -435.57846376718237, Avg Score: -inf, Time: 0.2747750069035424
Gen: 14, Best Score: -456.86224489132655, Avg Score: -inf, Time: 0.2929096372259988
Gen: 15, Best Score: -395.2785213053569, Avg Score: -inf, Time: 0.3119886675145891
Gen: 16, Best Score: -447.1517740504279, Avg Score: -inf, Time: 0.3328740339808994
Gen: 17, Best Score: -427.16144726188594, Avg Score: -inf, Time: 0.3542448745833503
Gen: 18, Best Score: -417.4894551714818, Avg Score: -inf, Time: 0.37478917671574485
Gen: 19, Best Score: -381.3260349286819, Avg Score: -inf, Time: 0.39453252812226614
Gen: 20, Best Score: -378.6671513967739, Avg Score: -inf, Time: 0.4146594277355406
Gen: 21, Best Score: -323.6341661023017, Avg Score: -inf, Time: 0.4404382861322827
Gen: 22, Best Score: -346.6790714637524, Avg Score: -inf, Time: 0.46621022111839716
Gen: 23, Best Score: -359.3149214175732, Avg Score: -inf, Time: 0.4909456256363127
Gen: 24, Best Score: -365.21584071028644, Avg Score: -inf, Time: 0.5150170324908363
Gen: 25, Best Score: -330.9676260693069, Avg Score: -inf, Time: 0.5421775073475308
Gen: 26, Best Score: -351.24735128193595, Avg Score: -inf, Time: 0.5690590010748969
Gen: 27, Best Score: -324.83275366953484, Avg Score: -inf, Time: 0.5983040775193108
Gen: 28, Best Score: -340.3296433399501, Avg Score: -inf, Time: 0.6271256946192847
Gen: 29, Best Score: -329.3880736994676, Avg Score: -inf, Time: 0.6558562160200543
Gen: 30, Best Score: -309.8289893709208, Avg Score: -inf, Time: 0.6844392241372003
Gen: 31, Best Score: -328.85297398822644, Avg Score: -inf, Time: 0.7126356724898021
Gen: 32, Best Score: -345.0234845348074, Avg Score: -inf, Time: 0.7410126976172129
Gen: 33, Best Score: -324.2932546854886, Avg Score: -inf, Time: 0.7716140353679657
Gen: 34, Best Score: -337.1345595080986, Avg Score: -inf, Time: 0.8031312223937777
Gen: 35, Best Score: -313.6791191760644, Avg Score: -inf, Time: 0.8344396281904645
