Trainer done: <tpg.trainer.Trainer object at 0x14ff69a2b280>
Gen: 0, Best Score: -1562.8462445017885, Avg Score: -inf, Time: 0.00585991276635064
Gen: 1, Best Score: -1473.5498379804637, Avg Score: -inf, Time: 0.011210799084769355
Gen: 2, Best Score: -1396.999569069685, Avg Score: -inf, Time: 0.01670052621099684
Gen: 3, Best Score: -1408.3256677689728, Avg Score: -inf, Time: 0.021532284948560926
Gen: 4, Best Score: -1304.0226957908185, Avg Score: -inf, Time: 0.025956530504756502
Gen: 5, Best Score: -1284.369957598253, Avg Score: -inf, Time: 0.030318212178018358
Gen: 6, Best Score: -929.2942049891253, Avg Score: -inf, Time: 0.033856435153219434
Gen: 7, Best Score: -925.9364624966688, Avg Score: -inf, Time: 0.037865240971247355
Gen: 8, Best Score: -895.8060139733702, Avg Score: -inf, Time: 0.041762030985620285
Gen: 9, Best Score: -908.9587247207887, Avg Score: -inf, Time: 0.0456093833843867
Gen: 10, Best Score: -1401.0854420225705, Avg Score: -inf, Time: 0.05860490010844337
Gen: 11, Best Score: -923.3899481646304, Avg Score: -inf, Time: 0.06215606411298116
Gen: 12, Best Score: -910.8183466725169, Avg Score: -inf, Time: 0.06564741995599535
Gen: 13, Best Score: -924.5899999775401, Avg Score: -inf, Time: 0.06897869394885169
Gen: 14, Best Score: -904.2694320713005, Avg Score: -inf, Time: 0.07156259609593285
Gen: 15, Best Score: -894.0387507758575, Avg Score: -inf, Time: 0.07384979844093323
Gen: 16, Best Score: -909.3382346708291, Avg Score: -inf, Time: 0.07587165786160363
Gen: 17, Best Score: -873.964042775715, Avg Score: -inf, Time: 0.07758012274901072
Gen: 18, Best Score: -898.509508811104, Avg Score: -inf, Time: 0.07933641963534885
Gen: 19, Best Score: -830.6463518014394, Avg Score: -inf, Time: 0.08112381981478797
Gen: 20, Best Score: -1123.4224307637874, Avg Score: -inf, Time: 0.08637745062510173
Gen: 21, Best Score: -861.8388740377783, Avg Score: -inf, Time: 0.08823770622412364
Gen: 22, Best Score: -873.310458894866, Avg Score: -inf, Time: 0.09012467867798275
Gen: 23, Best Score: -817.1347188989055, Avg Score: -inf, Time: 0.09217427147759331
Gen: 24, Best Score: -843.6169158900929, Avg Score: -inf, Time: 0.09394920316007402
Gen: 25, Best Score: -869.8255603874707, Avg Score: -inf, Time: 0.0955970456202825
Gen: 26, Best Score: -870.9552391300854, Avg Score: -inf, Time: 0.09734505461321936
Gen: 27, Best Score: -867.3343705151858, Avg Score: -inf, Time: 0.09909310479958852
Gen: 28, Best Score: -876.5598490406721, Avg Score: -inf, Time: 0.10106809457143148
Gen: 29, Best Score: -851.4576235057358, Avg Score: -inf, Time: 0.10273366239335802
Gen: 30, Best Score: -840.2357426795459, Avg Score: -inf, Time: 0.10780335492557949
Gen: 31, Best Score: -836.8888161679249, Avg Score: -inf, Time: 0.10948444359832339
Gen: 32, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.1112238864766227
Gen: 33, Best Score: -866.3126365532116, Avg Score: -inf, Time: 0.11285229543844859
Gen: 34, Best Score: -851.5255059661333, Avg Score: -inf, Time: 0.11457260655032264
Gen: 35, Best Score: -830.5047543533578, Avg Score: -inf, Time: 0.11642739143636492
Gen: 36, Best Score: -769.4817974820344, Avg Score: -inf, Time: 0.11802624371316697
Gen: 37, Best Score: -858.1078598719364, Avg Score: -inf, Time: 0.11975168989764319
Gen: 38, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.12143011053403219
Gen: 39, Best Score: -848.4440814794552, Avg Score: -inf, Time: 0.12315370519955952
Gen: 40, Best Score: -1001.8727499814499, Avg Score: -inf, Time: 0.12840167078706954
Gen: 41, Best Score: -813.1292382848803, Avg Score: -inf, Time: 0.1301628409491645
Gen: 42, Best Score: -813.1292382848803, Avg Score: -inf, Time: 0.13181607319249047
Gen: 43, Best Score: -813.1292382848803, Avg Score: -inf, Time: 0.13362170981036292
Gen: 44, Best Score: -812.577346952065, Avg Score: -inf, Time: 0.13525388062000274
Gen: 45, Best Score: -784.8752866735673, Avg Score: -inf, Time: 0.13691992236508263
Gen: 46, Best Score: -803.8555976214128, Avg Score: -inf, Time: 0.13854737725522784
Gen: 47, Best Score: -778.7239101549901, Avg Score: -inf, Time: 0.14028728557957543
Gen: 48, Best Score: -764.7254806654493, Avg Score: -inf, Time: 0.14203182657559713
Gen: 49, Best Score: -763.1477345438147, Avg Score: -inf, Time: 0.1436421220832401
Gen: 50, Best Score: -755.372554147153, Avg Score: -1339.2513077616843, Time: 0.1502627337641186
Gen: 51, Best Score: -460.684381818169, Avg Score: -1.360485843621562e+38, Time: 0.15198553019099764
Gen: 52, Best Score: -460.684381818169, Avg Score: -8.542513792376668e+47, Time: 0.1536187419626448
Gen: 53, Best Score: -460.684381818169, Avg Score: -982.5658821839806, Time: 0.15525195399920147
Gen: 54, Best Score: -460.684381818169, Avg Score: -2.1111847539374487e+57, Time: 0.1570072442955441
Gen: 55, Best Score: -460.684381818169, Avg Score: -1.8444253024359602e+81, Time: 0.15891696790854137
Gen: 56, Best Score: -460.684381818169, Avg Score: -5.285432026599215e+150, Time: 0.16086866319179535
Gen: 57, Best Score: -460.684381818169, Avg Score: -inf, Time: 0.16296644257174597
