Trainer done: <tpg.trainer.Trainer object at 0x149e0f7d7280>
Gen: 0, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.005587401919894749
Gen: 1, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.01103097312980228
Gen: 2, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.01573665287759569
Gen: 3, Best Score: -871.0118579320629, Avg Score: -inf, Time: 0.020660835173394947
Gen: 4, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.024756972988446552
Gen: 5, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.028805335362752277
Gen: 6, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.033398611942927044
Gen: 7, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.0374329662322998
Gen: 8, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.04193471762869093
Gen: 9, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.046204711927307976
Gen: 10, Best Score: -827.9327799844733, Avg Score: -inf, Time: 0.058896073765224884
Gen: 11, Best Score: -774.2203311333552, Avg Score: -inf, Time: 0.06398865381876627
Gen: 12, Best Score: -861.0787357282006, Avg Score: -inf, Time: 0.06693839046690199
Gen: 13, Best Score: -856.1643353060037, Avg Score: -inf, Time: 0.0698925127585729
Gen: 14, Best Score: -839.9808492868273, Avg Score: -inf, Time: 0.07210523115264045
Gen: 15, Best Score: -866.1363122626218, Avg Score: -inf, Time: 0.07444946653313107
Gen: 16, Best Score: -856.4634761106969, Avg Score: -inf, Time: 0.07703106032477484
Gen: 17, Best Score: -851.2416830375266, Avg Score: -inf, Time: 0.0799121504359775
Gen: 18, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.0822092952993181
Gen: 19, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.08443737910853492
Gen: 20, Best Score: -1146.8866063966468, Avg Score: -inf, Time: 0.09102924048900604
Gen: 21, Best Score: -873.82065517304, Avg Score: -inf, Time: 0.09317293683687845
Gen: 22, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.09539682322078281
Gen: 23, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.09749170144399007
Gen: 24, Best Score: -879.3108760567798, Avg Score: -inf, Time: 0.09980674107869467
Gen: 25, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.10208955738279554
Gen: 26, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.10437947359349993
Gen: 27, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.10676091684235467
Gen: 28, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.10909944627020095
Gen: 29, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.11165987835990059
Gen: 30, Best Score: -1097.2635637408362, Avg Score: -inf, Time: 0.11843234830432468
Gen: 31, Best Score: -878.4601465035354, Avg Score: -inf, Time: 0.12057355595959557
Gen: 32, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.12284975018766191
Gen: 33, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.12497554937998454
Gen: 34, Best Score: -878.0518256052062, Avg Score: -inf, Time: 0.12736370695961846
Gen: 35, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.1295434899462594
Gen: 36, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.1315505486726761
Gen: 37, Best Score: -877.5787708124861, Avg Score: -inf, Time: 0.13396362000041537
Gen: 38, Best Score: -878.9826363361091, Avg Score: -inf, Time: 0.13617705285549164
Gen: 39, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.138406540022956
Gen: 40, Best Score: -1027.9087788397314, Avg Score: -inf, Time: 0.1447801560163498
Gen: 41, Best Score: -879.3313041300989, Avg Score: -inf, Time: 0.14714358488718668
Gen: 42, Best Score: -876.5598490406721, Avg Score: -inf, Time: 0.14937240256203546
Gen: 43, Best Score: -878.1228625033697, Avg Score: -inf, Time: 0.151490009493298
Gen: 44, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.15372982296678755
Gen: 45, Best Score: -877.0760008176475, Avg Score: -inf, Time: 0.15583387394746145
Gen: 46, Best Score: -878.0518256052062, Avg Score: -inf, Time: 0.15794858415921528
Gen: 47, Best Score: -870.1970819953941, Avg Score: -inf, Time: 0.15999230444431306
Gen: 48, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.1622191071510315
Gen: 49, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.16467497918340895
Gen: 50, Best Score: -919.7734748050714, Avg Score: -inf, Time: 0.1716809950934516
Gen: 51, Best Score: -875.7819434398812, Avg Score: -inf, Time: 0.17431945979595184
Gen: 52, Best Score: -874.8009358148153, Avg Score: -inf, Time: 0.17668387962712181
Gen: 53, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.17916441195540958
Gen: 54, Best Score: -871.2598457056858, Avg Score: -inf, Time: 0.1814249712891049
Gen: 55, Best Score: -863.5791326065062, Avg Score: -inf, Time: 0.1839611840248108
Gen: 56, Best Score: -877.1282661186417, Avg Score: -inf, Time: 0.18637321220503913
Gen: 57, Best Score: -868.1627497929176, Avg Score: -inf, Time: 0.18897534714804756
Gen: 58, Best Score: -878.3247497042883, Avg Score: -inf, Time: 0.19131895833545262
Gen: 59, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.19370060563087463
Gen: 60, Best Score: -901.2337579607407, Avg Score: -inf, Time: 0.20359813822640313
Gen: 61, Best Score: -874.2099815059711, Avg Score: -inf, Time: 0.2061656294266383
Gen: 62, Best Score: -874.1489562030018, Avg Score: -inf, Time: 0.20860102428330315
Gen: 63, Best Score: -877.5970342760976, Avg Score: -inf, Time: 0.21140133513344658
Gen: 64, Best Score: -876.8942623193493, Avg Score: -inf, Time: 0.21376803053749932
Gen: 65, Best Score: -871.3225885504295, Avg Score: -inf, Time: 0.21610024200545416
Gen: 66, Best Score: -876.3694290472342, Avg Score: -inf, Time: 0.21849159386422898
Gen: 67, Best Score: -877.8030496852091, Avg Score: -inf, Time: 0.22076475275887383
Gen: 68, Best Score: -879.80500674053, Avg Score: -inf, Time: 0.22329128894540998
Gen: 69, Best Score: -869.8277475691164, Avg Score: -inf, Time: 0.2260205927822325
Gen: 70, Best Score: -962.9644363012155, Avg Score: -inf, Time: 0.23403856919871435
