Trainer done: <tpg.trainer.Trainer object at 0x14ad3f413e80>
Gen: 0, Best Score: -1484.5953129315412, Avg Score: -inf, Time: 0.005892179078525967
Gen: 1, Best Score: -1476.2144209628443, Avg Score: -inf, Time: 0.010814814103974236
Gen: 2, Best Score: -1433.8650905296245, Avg Score: -inf, Time: 0.01559883283244239
Gen: 3, Best Score: -1440.9599691659214, Avg Score: -inf, Time: 0.020084945029682583
Gen: 4, Best Score: -1437.3598781500218, Avg Score: -inf, Time: 0.02434704429573483
Gen: 5, Best Score: -1420.5912307713593, Avg Score: -inf, Time: 0.02815087530348036
Gen: 6, Best Score: -1438.678580398543, Avg Score: -inf, Time: 0.032729729877577884
Gen: 7, Best Score: -1044.6881509173186, Avg Score: -inf, Time: 0.036980053186416624
Gen: 8, Best Score: -1010.2854458432664, Avg Score: -inf, Time: 0.04140163918336232
Gen: 9, Best Score: -1041.6046010921955, Avg Score: -inf, Time: 0.04675293385982513
Gen: 10, Best Score: -1055.7744896269862, Avg Score: -inf, Time: 0.07031184626950159
Gen: 11, Best Score: -891.5263243256551, Avg Score: -inf, Time: 0.07512705683708192
Gen: 12, Best Score: -894.1011904374637, Avg Score: -inf, Time: 0.0792709794971678
Gen: 13, Best Score: -878.0638004351867, Avg Score: -inf, Time: 0.08291506184471978
Gen: 14, Best Score: -891.4710441074775, Avg Score: -inf, Time: 0.08691734373569489
Gen: 15, Best Score: -869.9084594863773, Avg Score: -inf, Time: 0.0904499105612437
Gen: 16, Best Score: -837.3778029620761, Avg Score: -1.8279785937677394e+136, Time: 0.09384216295348273
Gen: 17, Best Score: -837.3778029620761, Avg Score: -inf, Time: 0.09694314069218106
Gen: 18, Best Score: -837.3778029620761, Avg Score: -inf, Time: 0.10019130998187595
Gen: 19, Best Score: -837.3778029620761, Avg Score: -inf, Time: 0.10339248597621918
Gen: 20, Best Score: -1086.8336305871064, Avg Score: -inf, Time: 0.11315734750694699
Gen: 21, Best Score: -837.3778029620761, Avg Score: -inf, Time: 0.11656724360254075
Gen: 22, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.11992138723532358
Gen: 23, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.12353853583335876
Gen: 24, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.12769744329982333
Gen: 25, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.13318674200110966
Gen: 26, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.13960004495249853
Gen: 27, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.14682588246133593
Gen: 28, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.1545006106297175
Gen: 29, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.16265909373760223
Gen: 30, Best Score: -1105.1566897684158, Avg Score: -inf, Time: 0.2005443212058809
Gen: 31, Best Score: -834.2510406101634, Avg Score: -4.6210749126277175e+94, Time: 0.2080468675825331
Gen: 32, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.2164492095841302
Gen: 33, Best Score: -834.2510406101634, Avg Score: -inf, Time: 0.22449722448984782
Gen: 34, Best Score: -834.2510406101634, Avg Score: -1.2337024971900828e+119, Time: 0.23229729221926795
Gen: 35, Best Score: -833.6860431913026, Avg Score: -4.456751584938681e+134, Time: 0.2401108705997467
Gen: 36, Best Score: -833.6860431913026, Avg Score: -1.5993821187276277e+53, Time: 0.2470672795507643
