Trainer done: <tpg.trainer.Trainer object at 0x1492ceb3f580>
Gen: 0, Best Score: -14.794955194919838, Avg Score: -24.76984906976695, Time: 0.0034550554222530787
Gen: 1, Best Score: -14.806582838575649, Avg Score: -21.271919562879013, Time: 0.0075214693281385634
Gen: 2, Best Score: -14.545819823195048, Avg Score: -18.530092003781306, Time: 0.009967636466026306
Gen: 3, Best Score: -14.540492116845781, Avg Score: -17.034978295001086, Time: 0.012552459637324015
Gen: 4, Best Score: -14.530286580935948, Avg Score: -15.911995819322899, Time: 0.014903012712796529
Gen: 5, Best Score: -14.511637846509492, Avg Score: -15.783914081563683, Time: 0.01701835718419817
Gen: 6, Best Score: -14.533181417421668, Avg Score: -15.068973532957616, Time: 0.01896112024784088
Gen: 7, Best Score: -14.510191815695569, Avg Score: -15.18479267760401, Time: 0.020980427728758917
Gen: 8, Best Score: -14.26521020661099, Avg Score: -15.081561187676114, Time: 0.022819598317146302
Gen: 9, Best Score: -13.883631275755102, Avg Score: -14.862208690611011, Time: 0.0248582481013404
Gen: 10, Best Score: -12.953675555398195, Avg Score: -13.840620165758677, Time: 0.05200047903590732
Gen: 11, Best Score: -13.488679862453399, Avg Score: -14.109263860479222, Time: 0.05951797452237871
Gen: 12, Best Score: -12.930469416934496, Avg Score: -13.998575251365006, Time: 0.06473730411794451
Gen: 13, Best Score: -13.15606687470293, Avg Score: -13.934375353859323, Time: 0.07052875618139903
Gen: 14, Best Score: -13.100658368853288, Avg Score: -13.866114425823023, Time: 0.0762258544895384
Gen: 15, Best Score: -12.82488371174066, Avg Score: -13.83209270884373, Time: 0.0821158727672365
Gen: 16, Best Score: -12.627747342330554, Avg Score: -13.802947325043869, Time: 0.08840004728900061
Gen: 17, Best Score: -12.873181733061179, Avg Score: -13.747480014558985, Time: 0.09488041268454658
Gen: 18, Best Score: -12.779916994337544, Avg Score: -13.705264318307266, Time: 0.10183873421616024
Gen: 19, Best Score: -12.787906963342529, Avg Score: -13.635008794909183, Time: 0.1088021253214942
Gen: 20, Best Score: -11.903776996778895, Avg Score: -13.238514980759057, Time: 0.1309133791923523
Gen: 21, Best Score: -12.398130546076604, Avg Score: -13.622843266207644, Time: 0.14047861715157828
Gen: 22, Best Score: -12.528566579376458, Avg Score: -13.507398529299707, Time: 0.1492155377732383
Gen: 23, Best Score: -12.362492111937112, Avg Score: -13.35581690076529, Time: 0.1570078244474199
Gen: 24, Best Score: -12.226603631099687, Avg Score: -13.30464370173735, Time: 0.16550862881872389
Gen: 25, Best Score: -12.495857077839636, Avg Score: -13.244925136956407, Time: 0.17385719696680704
Gen: 26, Best Score: -12.352717404630631, Avg Score: -13.237814214236876, Time: 0.18193272166781954
Gen: 27, Best Score: -12.19347405569664, Avg Score: -13.180003310757147, Time: 0.1907071347369088
Gen: 28, Best Score: -12.064650182519255, Avg Score: -13.121942958223906, Time: 0.199393150806427
Gen: 29, Best Score: -12.122889533558835, Avg Score: -13.114313144222319, Time: 0.2080315449502733
Gen: 30, Best Score: -11.806500054589067, Avg Score: -12.72232714453747, Time: 0.24336777514881558
Gen: 31, Best Score: -12.359291526682235, Avg Score: -12.987742182444189, Time: 0.25479567249615986
Gen: 32, Best Score: -12.184210786137236, Avg Score: -13.097584735097156, Time: 0.2641564832131068
Gen: 33, Best Score: -12.135987672053865, Avg Score: -12.94567060198345, Time: 0.2734045027361976
Gen: 34, Best Score: -11.933624462924175, Avg Score: -12.99673506870487, Time: 0.282888070874744
Gen: 35, Best Score: -11.77439869755526, Avg Score: -12.900779637654239, Time: 0.29300892068280115
