Trainer done: <tpg.trainer.Trainer object at 0x14c4f84236a0>
Gen: 0, Best Score: -11.884240333434546, Avg Score: -25.456284596856083, Time: 0.002085072663095262
Gen: 1, Best Score: -11.913561545059014, Avg Score: -21.6036090621941, Time: 0.0037829624281989203
Gen: 2, Best Score: -11.839838840193588, Avg Score: -18.625878012319337, Time: 0.005476153426700168
Gen: 3, Best Score: -11.820646667871278, Avg Score: -16.453233949325163, Time: 0.0072864577505323625
Gen: 4, Best Score: -11.839838840193588, Avg Score: -15.956465394122354, Time: 0.008980150752597385
Gen: 5, Best Score: -11.839838780106323, Avg Score: -14.561897981103712, Time: 0.011077250639597575
Gen: 6, Best Score: -11.839079303525308, Avg Score: -14.219605009312417, Time: 0.013049239317576091
Gen: 7, Best Score: -11.835510217945803, Avg Score: -13.070227367219264, Time: 0.015317688385645548
Gen: 8, Best Score: -11.839838823701394, Avg Score: -12.521861379925847, Time: 0.01722600215011173
Gen: 9, Best Score: -11.799908767941183, Avg Score: -12.456980139604486, Time: 0.019069116844071282
Gen: 10, Best Score: -11.844641194937296, Avg Score: -12.892918223881994, Time: 0.026621542705429924
Gen: 11, Best Score: -11.63320001567473, Avg Score: -12.806778599865599, Time: 0.02855137142870161
Gen: 12, Best Score: -11.710754365911642, Avg Score: -12.410196453120157, Time: 0.03058449818028344
Gen: 13, Best Score: -11.736417174176434, Avg Score: -12.140936338995937, Time: 0.03239435209168328
Gen: 14, Best Score: -11.675634415111452, Avg Score: -12.84948491306348, Time: 0.0340560997194714
Gen: 15, Best Score: -11.615694218708951, Avg Score: -12.672706135953268, Time: 0.03577308363384671
Gen: 16, Best Score: -11.641918807768308, Avg Score: -12.666783891197207, Time: 0.037750255001915825
Gen: 17, Best Score: -11.503801748115286, Avg Score: -12.278303074071575, Time: 0.039716413285997176
Gen: 18, Best Score: -11.515848363210619, Avg Score: -12.600427122580651, Time: 0.04205396241611904
Gen: 19, Best Score: -11.436319173205145, Avg Score: -12.393426855355239, Time: 0.04446756482124328
Gen: 20, Best Score: -11.553046758102445, Avg Score: -12.302069818627949, Time: 0.05576054255167643
Gen: 21, Best Score: -11.510679197331132, Avg Score: -12.130497217610166, Time: 0.058781482709778676
Gen: 22, Best Score: -11.452840235740583, Avg Score: -12.193731045645741, Time: 0.06223944948779212
Gen: 23, Best Score: -11.104628707384219, Avg Score: -11.905980339820388, Time: 0.06544782724645402
Gen: 24, Best Score: -11.501678936174878, Avg Score: -11.940289981620692, Time: 0.06854064901669821
Gen: 25, Best Score: -11.414624709494804, Avg Score: -12.058455596399744, Time: 0.0717498966720369
Gen: 26, Best Score: -11.385373796101867, Avg Score: -11.895199755767912, Time: 0.07489485217465294
Gen: 27, Best Score: -11.081342146001006, Avg Score: -11.893673622962979, Time: 0.0783336963918474
Gen: 28, Best Score: -11.417327503107783, Avg Score: -11.841575985431215, Time: 0.08130556994014317
Gen: 29, Best Score: -11.099961662494126, Avg Score: -11.912382223589946, Time: 0.08459389746189118
Gen: 30, Best Score: -11.176874788291496, Avg Score: -12.194605999481599, Time: 0.09283500976032681
Gen: 31, Best Score: -11.146216988927904, Avg Score: -11.97448464041482, Time: 0.09588279631402757
Gen: 32, Best Score: -11.018964549570732, Avg Score: -12.025097347378466, Time: 0.09879713641272651
Gen: 33, Best Score: -11.362447479017108, Avg Score: -12.018548858513062, Time: 0.1011121877696779
Gen: 34, Best Score: -11.344334457012435, Avg Score: -12.13269159578464, Time: 0.10370353864298927
Gen: 35, Best Score: -11.1063651842824, Avg Score: -11.948294631344009, Time: 0.1062186963028378
Gen: 36, Best Score: -11.207184309175538, Avg Score: -11.985083370183574, Time: 0.10873709685272641
Gen: 37, Best Score: -11.058736456107777, Avg Score: -11.92849526442737, Time: 0.1114581839243571
Gen: 38, Best Score: -11.1491467260801, Avg Score: -11.995931878883736, Time: 0.11383253157138824
Gen: 39, Best Score: -11.240828296494756, Avg Score: -12.162454544805856, Time: 0.11651540054215326
Gen: 40, Best Score: -11.113991966911861, Avg Score: -12.161036521406224, Time: 0.1278781572315428
Gen: 41, Best Score: -10.996062323617638, Avg Score: -11.973239684754695, Time: 0.13104902313815223
Gen: 42, Best Score: -10.828926108876411, Avg Score: -11.946302294961809, Time: 0.13475347148047553
Gen: 43, Best Score: -10.809770379862634, Avg Score: -12.049795120778576, Time: 0.13848328828811646
Gen: 44, Best Score: -11.109440838285945, Avg Score: -11.968861753437293, Time: 0.14230142050319247
Gen: 45, Best Score: -10.820086217153657, Avg Score: -11.8677680896799, Time: 0.1462212485737271
Gen: 46, Best Score: -11.148450426145432, Avg Score: -11.830945226447021, Time: 0.15048915459050072
Gen: 47, Best Score: -11.09159472320535, Avg Score: -11.928553027331246, Time: 0.15500602920850118
Gen: 48, Best Score: -11.146132436084883, Avg Score: -11.810312987561737, Time: 0.15922439012262557
Gen: 49, Best Score: -11.056489099267719, Avg Score: -11.982978167110657, Time: 0.16323734303315482
Gen: 50, Best Score: -10.786124052912646, Avg Score: -12.000707173077425, Time: 0.17611222439342075
Gen: 51, Best Score: -10.74702018915509, Avg Score: -11.787022739672363, Time: 0.18028638296657137
Gen: 52, Best Score: -10.738539827050701, Avg Score: -11.819181953471613, Time: 0.18552006522814432
