Trainer done: <tpg.trainer.Trainer object at 0x14fffa8d36a0>
Gen: 19, Best Score: -14.770252364485534, Avg Score: -24.317362387034823, Time: 0.003663744661543104
Gen: 20, Best Score: -13.040082930101091, Avg Score: -15.570970477511246, Time: 0.019274107615152993
Gen: 21, Best Score: -13.65483936205983, Avg Score: -15.71539448740768, Time: 0.021130063931147258
Gen: 22, Best Score: -13.446350932830207, Avg Score: -15.405919792994627, Time: 0.022892489896880256
Gen: 23, Best Score: -13.643340474511106, Avg Score: -15.527814569374268, Time: 0.02464907454119788
Gen: 24, Best Score: -13.394417614975747, Avg Score: -15.093607737235331, Time: 0.026132452090581258
Gen: 25, Best Score: -13.040618007491146, Avg Score: -15.173854798881424, Time: 0.02762092371781667
Gen: 26, Best Score: -12.791900915910986, Avg Score: -15.13742095098161, Time: 0.02908960421880086
Gen: 27, Best Score: -12.828932132803263, Avg Score: -15.017535452454029, Time: 0.030613199207517837
Gen: 28, Best Score: -12.942726569418372, Avg Score: -15.013030461180824, Time: 0.03206857257419162
Gen: 29, Best Score: -12.696422199743234, Avg Score: -14.428562643545883, Time: 0.033391544553968644
Gen: 30, Best Score: -11.931827455341525, Avg Score: -13.731812880107725, Time: 0.036547236376338534
Gen: 31, Best Score: -12.290197405481608, Avg Score: -13.664462464445727, Time: 0.03741823818948534
Gen: 32, Best Score: -11.309992059863749, Avg Score: -13.567438456430127, Time: 0.03828383896085951
Gen: 33, Best Score: -11.026988374314106, Avg Score: -13.442812955898871, Time: 0.039118422269821165
Gen: 34, Best Score: -11.741145502719112, Avg Score: -13.435220669550562, Time: 0.040140248735745745
Gen: 35, Best Score: -11.385261471567556, Avg Score: -13.719523925117295, Time: 0.0412392434808943
Gen: 36, Best Score: -11.288677227576526, Avg Score: -13.33009483279097, Time: 0.04235780782169766
Gen: 37, Best Score: -11.149879559360455, Avg Score: -13.12105151927094, Time: 0.04326080077224308
Gen: 38, Best Score: -10.436944619439872, Avg Score: -13.096612665514526, Time: 0.044267938534418745
Gen: 39, Best Score: -10.9064953847401, Avg Score: -12.852906642506712, Time: 0.04525502039326562
Gen: 40, Best Score: -9.532260072051116, Avg Score: -12.713341572060253, Time: 0.04754578663243188
Gen: 41, Best Score: -10.147608434361139, Avg Score: -13.074499790563927, Time: 0.04830219672785865
Gen: 42, Best Score: -10.552100290096778, Avg Score: -12.739849129289212, Time: 0.04908613072501289
Gen: 43, Best Score: -10.451561172208935, Avg Score: -12.81842091432963, Time: 0.05003084023793539
Gen: 44, Best Score: -9.082425664836855, Avg Score: -12.814047332623897, Time: 0.05085433966583676
Gen: 45, Best Score: -9.082425664836855, Avg Score: -12.333997383211043, Time: 0.05162852870093452
Gen: 46, Best Score: -9.082425664836855, Avg Score: -12.64627752111054, Time: 0.05251791106330024
Gen: 47, Best Score: -9.082425664836855, Avg Score: -12.514014237648857, Time: 0.05332419673601786
Gen: 48, Best Score: -9.082425664836855, Avg Score: -12.256823451209737, Time: 0.05402338597509596
Gen: 49, Best Score: -9.082425664836855, Avg Score: -12.001491385029297, Time: 0.05482817868391673
Gen: 50, Best Score: -8.244352022452562, Avg Score: -9.62653083518298, Time: 0.06773540284898547
Gen: 51, Best Score: -8.275823892215932, Avg Score: -10.315934561281878, Time: 0.06838400741418203
Gen: 52, Best Score: -8.235820640072756, Avg Score: -9.959223893390659, Time: 0.06896671036879222
Gen: 53, Best Score: -8.255407138279011, Avg Score: -9.914417869477298, Time: 0.06951788597636753
Gen: 54, Best Score: -8.240072627657248, Avg Score: -9.566441338087257, Time: 0.0701147739092509
Gen: 55, Best Score: -8.240294921453533, Avg Score: -10.322898891267187, Time: 0.07067917452918158
Gen: 56, Best Score: -8.241717188271332, Avg Score: -10.415237498037257, Time: 0.07126447929276361
Gen: 57, Best Score: -8.239625111632726, Avg Score: -9.628460704437902, Time: 0.07184495780203078
Gen: 58, Best Score: -8.229681231173426, Avg Score: -9.688496591846882, Time: 0.07241325987709893
Gen: 59, Best Score: -8.23670081637711, Avg Score: -9.14574507669148, Time: 0.07293278667661879
Gen: 60, Best Score: -8.245793708128396, Avg Score: -9.18995786364, Time: 0.07554801854822371
Gen: 61, Best Score: -8.232392055685246, Avg Score: -9.468801344007469, Time: 0.07629927297433217
Gen: 62, Best Score: -8.232573635544677, Avg Score: -9.637258944049774, Time: 0.07695202542675866
Gen: 63, Best Score: -8.238642586639298, Avg Score: -8.950194770147064, Time: 0.07762170712153117
Gen: 64, Best Score: -8.231081400285756, Avg Score: -9.463687073848769, Time: 0.07828425798151228
Gen: 65, Best Score: -8.233212743233903, Avg Score: -9.380274214790184, Time: 0.0789822025431527
Gen: 66, Best Score: -8.23796012328991, Avg Score: -9.387241443430476, Time: 0.07967953509754605
Gen: 67, Best Score: -8.227944905719161, Avg Score: -9.244668512256245, Time: 0.08041502873102824
Gen: 68, Best Score: -8.240289944150861, Avg Score: -9.029094469156032, Time: 0.08116817361778683
Gen: 69, Best Score: -8.233845373701232, Avg Score: -9.37681440325762, Time: 0.08198595345020294
Gen: 70, Best Score: -8.243465574500167, Avg Score: -8.888530248180043, Time: 0.08409129990471734
Gen: 71, Best Score: -8.249630975739265, Avg Score: -9.243319260385526, Time: 0.08487211922804515
Gen: 72, Best Score: -8.228968129952062, Avg Score: -9.606840925436853, Time: 0.085638102028105
Gen: 73, Best Score: -8.243246456384563, Avg Score: -8.937041988744065, Time: 0.08639368620183732
Gen: 74, Best Score: -8.22859600524467, Avg Score: -9.756108773556067, Time: 0.08707852866914537
Gen: 75, Best Score: -8.237375785872956, Avg Score: -9.139336110219265, Time: 0.0877462703651852
Gen: 76, Best Score: -8.230156024029396, Avg Score: -9.465288744255558, Time: 0.08868864112430148
Gen: 77, Best Score: -8.23825030645716, Avg Score: -9.077104225648084, Time: 0.08944340427716573
Gen: 78, Best Score: -8.237974012123487, Avg Score: -9.038659306376454, Time: 0.09023251434167226
Gen: 79, Best Score: -8.233715975030016, Avg Score: -9.193716778501079, Time: 0.09100474562909867
Gen: 80, Best Score: -8.243390379383142, Avg Score: -8.923628004341266, Time: 0.09388202117549048
Gen: 81, Best Score: -8.238793763039444, Avg Score: -9.129515186452485, Time: 0.09457193401124742
Gen: 82, Best Score: -8.241200651560739, Avg Score: -9.550606978458227, Time: 0.09537865433428022
Gen: 83, Best Score: -8.24452017598881, Avg Score: -9.644779865777227, Time: 0.0960769361919827
Gen: 84, Best Score: -8.234402093412161, Avg Score: -9.954035251326435, Time: 0.09683436393737793
Gen: 85, Best Score: -8.241186578459596, Avg Score: -9.54244402282503, Time: 0.09761923948923747
Gen: 86, Best Score: -8.237172916901313, Avg Score: -9.391185152203448, Time: 0.09844943006833394
Gen: 87, Best Score: -8.236111915254007, Avg Score: -9.290580755066214, Time: 0.09941858165793949
Gen: 88, Best Score: -8.227587417960933, Avg Score: -9.013786840385244, Time: 0.10029605752891964
Gen: 89, Best Score: -8.242074616502498, Avg Score: -9.341334395546152, Time: 0.10105788376596239
Gen: 90, Best Score: -8.24427619308966, Avg Score: -10.119863101315936, Time: 0.10510556956132253
Gen: 91, Best Score: -8.23761280049097, Avg Score: -10.120547015886798, Time: 0.10580513848198785
Gen: 92, Best Score: -8.229230045548489, Avg Score: -9.404571997527773, Time: 0.10660734090540144
Gen: 93, Best Score: -8.2324417162445, Avg Score: -8.856630426119485, Time: 0.10722186545530955
Gen: 94, Best Score: -8.237174881356331, Avg Score: -9.209996995012641, Time: 0.10801722036467658
Gen: 95, Best Score: -8.235538767814395, Avg Score: -9.174722060377674, Time: 0.1087760489516788
Gen: 96, Best Score: -8.235443515949735, Avg Score: -9.300117056295809, Time: 0.10981132361623976
Gen: 97, Best Score: -8.237005430544105, Avg Score: -9.200854664060587, Time: 0.11045666535695393
Gen: 98, Best Score: -8.226771963397065, Avg Score: -9.399806457577963, Time: 0.111228839357694
Gen: 99, Best Score: -8.238204579261232, Avg Score: -8.925288922952168, Time: 0.11197673108842637
Gen: 100, Best Score: -8.24447811110702, Avg Score: -9.088049401438532, Time: 0.11515576342741649
Gen: 101, Best Score: -8.233033048687947, Avg Score: -9.57592745522214, Time: 0.11596025380823348
Gen: 102, Best Score: -8.235101221689721, Avg Score: -9.565325552669627, Time: 0.11692634966638353
Gen: 103, Best Score: -8.225655682610904, Avg Score: -9.699161939001685, Time: 0.11771203213267856
Gen: 104, Best Score: -8.247976437195751, Avg Score: -9.36033207297462, Time: 0.11843564106358422
Gen: 105, Best Score: -8.229510360519237, Avg Score: -9.054441590914996, Time: 0.11917991989188724
Gen: 106, Best Score: -8.239453132990667, Avg Score: -9.43980679785341, Time: 0.11993807812531788
Gen: 107, Best Score: -8.241753943135956, Avg Score: -9.16609111773552, Time: 0.12059357788827685
Gen: 108, Best Score: -8.220072297607643, Avg Score: -9.253851312730374, Time: 0.12138282517592112
Gen: 109, Best Score: -8.238727884363094, Avg Score: -9.550905631481498, Time: 0.12213230179415809
Gen: 110, Best Score: -8.24588295839059, Avg Score: -9.325668039646379, Time: 0.12443784091207716
Gen: 111, Best Score: -8.222319312182236, Avg Score: -9.462843368104075, Time: 0.12521654148896535
Gen: 112, Best Score: -8.242633160781258, Avg Score: -9.364238532632598, Time: 0.12603468451235028
Gen: 113, Best Score: -8.238840171658909, Avg Score: -9.36572783622201, Time: 0.1267562205923928
Gen: 114, Best Score: -8.23031794817731, Avg Score: -9.638440633245613, Time: 0.1274959996673796
Gen: 115, Best Score: -8.241371597745587, Avg Score: -9.209578606313144, Time: 0.12822201761934493
Gen: 116, Best Score: -8.239673657918265, Avg Score: -9.470803999391412, Time: 0.12899625221888225
Gen: 117, Best Score: -8.241635958250331, Avg Score: -9.063851192753011, Time: 0.12990141146712833
Gen: 118, Best Score: -8.236973876238055, Avg Score: -9.251108090085637, Time: 0.13075430413087208
Gen: 119, Best Score: -8.226059469464843, Avg Score: -9.018068317816141, Time: 0.13162212716208563
Gen: 120, Best Score: -8.243499887287213, Avg Score: -9.21633898383553, Time: 0.13517466465632122
Gen: 121, Best Score: -8.234824658476477, Avg Score: -9.18194763355755, Time: 0.13606599536206987
Gen: 122, Best Score: -8.237564958841887, Avg Score: -9.388220631890533, Time: 0.13698163131872812
Gen: 123, Best Score: -8.231465729903661, Avg Score: -9.387916049840928, Time: 0.13769129673639932
Gen: 124, Best Score: -8.234423312781239, Avg Score: -9.311143534113688, Time: 0.13860368768374126
Gen: 125, Best Score: -8.231005370218698, Avg Score: -9.359572498039697, Time: 0.13968089189794328
Gen: 126, Best Score: -8.236836821258475, Avg Score: -9.900461696456123, Time: 0.14047181732124753
Gen: 127, Best Score: -8.236579994403513, Avg Score: -9.512223238026484, Time: 0.14137288596895006
Gen: 128, Best Score: -8.237868452072203, Avg Score: -9.429232534312865, Time: 0.14231596615579392
Gen: 129, Best Score: -8.237569732244257, Avg Score: -9.028205760056027, Time: 0.14322615934742822
