Trainer done: <tpg.trainer.Trainer object at 0x1543fbfbf6d0>
Gen: 0, Best Score: -16.53110289192094, Avg Score: -22.210358271848232, Time: 0.003912477890650431
Gen: 1, Best Score: -16.69249642638136, Avg Score: -20.442526445302537, Time: 0.006515839364793566
Gen: 2, Best Score: -16.613219390470636, Avg Score: -19.350474545992377, Time: 0.008598121338420445
Gen: 3, Best Score: -16.478127969979862, Avg Score: -18.544050924070316, Time: 0.010451343324449327
Gen: 4, Best Score: -16.504162896917812, Avg Score: -17.57217558405045, Time: 0.011868817143970065
Gen: 5, Best Score: -16.214344241951146, Avg Score: -17.221287484464373, Time: 0.01329916344748603
Gen: 6, Best Score: -16.28491160850755, Avg Score: -17.069650537941484, Time: 0.014761584732267592
Gen: 7, Best Score: -16.37811532861084, Avg Score: -17.383289077332805, Time: 0.01610559966829088
Gen: 8, Best Score: -16.38592615601356, Avg Score: -17.01378500005029, Time: 0.017686168948809308
Gen: 9, Best Score: -15.589565151979608, Avg Score: -17.081809948176577, Time: 0.018984937800301447
Gen: 10, Best Score: -14.581543057153088, Avg Score: -16.921495280476073, Time: 0.023538277414109972
Gen: 11, Best Score: -15.458708666512408, Avg Score: -16.76777744751833, Time: 0.025135171943240695
Gen: 12, Best Score: -15.117941859115472, Avg Score: -16.65420896316193, Time: 0.026999929481082492
Gen: 13, Best Score: -12.436246701823798, Avg Score: -16.37893383090605, Time: 0.029068937831454807
Gen: 14, Best Score: -12.61926206117394, Avg Score: -16.20876492425227, Time: 0.031233257320192127
Gen: 15, Best Score: -12.217910657853123, Avg Score: -16.00564971355483, Time: 0.03360350820753309
Gen: 16, Best Score: -11.158104299767745, Avg Score: -15.966105503512805, Time: 0.035909438331921895
Gen: 17, Best Score: -11.453028153351577, Avg Score: -15.710484515169895, Time: 0.0385526704788208
Gen: 18, Best Score: -11.409896409158877, Avg Score: -15.354987312259766, Time: 0.04148182405365838
Gen: 19, Best Score: -11.051993940453846, Avg Score: -15.202092108575092, Time: 0.044316872755686444
Gen: 20, Best Score: -8.157984736145822, Avg Score: -11.501090703989366, Time: 0.05594405670960744
Gen: 21, Best Score: -8.708604465275826, Avg Score: -11.128261478103619, Time: 0.05862518469492595
Gen: 22, Best Score: -8.462062933797222, Avg Score: -10.508370408761573, Time: 0.06245600117577447
Gen: 23, Best Score: -8.539960636509461, Avg Score: -10.037381910625964, Time: 0.06682131919595931
Gen: 24, Best Score: -8.522887660317569, Avg Score: -9.595291368306366, Time: 0.0709341584973865
Gen: 25, Best Score: -8.54383294351737, Avg Score: -9.486265171045313, Time: 0.07548004554377662
Gen: 26, Best Score: -8.442672801529392, Avg Score: -9.321751548638272, Time: 0.07988751239246793
Gen: 27, Best Score: -8.518455450673843, Avg Score: -9.129342388042023, Time: 0.08431019001536899
Gen: 28, Best Score: -8.428410581978351, Avg Score: -8.97689673012556, Time: 0.08883564531803131
Gen: 29, Best Score: -8.475909655555322, Avg Score: -8.982843356459258, Time: 0.09404928512043423
Gen: 30, Best Score: -8.095575317639451, Avg Score: -8.567964988314458, Time: 0.11542785618040297
Gen: 31, Best Score: -8.47355101350936, Avg Score: -8.959858822502264, Time: 0.12089262531863318
Gen: 32, Best Score: -8.443135712144649, Avg Score: -8.972130392293609, Time: 0.12627582172552745
Gen: 33, Best Score: -8.377067974026314, Avg Score: -9.000004492820631, Time: 0.13157247344652812
Gen: 34, Best Score: -8.434655450233148, Avg Score: -8.980359152052005, Time: 0.13752457280953725
Gen: 35, Best Score: -8.353963582090392, Avg Score: -8.945843431674767, Time: 0.14301549520757464
Gen: 36, Best Score: -8.383513545095292, Avg Score: -9.279017690790369, Time: 0.1484412293963962
Gen: 37, Best Score: -8.411606632250017, Avg Score: -8.793036114710644, Time: 0.15347426401244268
Gen: 38, Best Score: -8.334766644224018, Avg Score: -9.01901819464161, Time: 0.15979341447353362
Gen: 39, Best Score: -8.47560097523485, Avg Score: -8.994697288046439, Time: 0.16465749555163914
Gen: 40, Best Score: -8.035226909416755, Avg Score: -8.620772330363103, Time: 0.18615930709573958
Gen: 41, Best Score: -8.275666297311172, Avg Score: -8.918533631382815, Time: 0.19148622433344523
Gen: 42, Best Score: -8.342159539393515, Avg Score: -8.975009348046619, Time: 0.1974791326125463
Gen: 43, Best Score: -8.420319267377966, Avg Score: -8.887425258096346, Time: 0.20277787082725102
Gen: 44, Best Score: -8.394941248104933, Avg Score: -8.85180594442948, Time: 0.20818111121654512
Gen: 45, Best Score: -8.395546651812872, Avg Score: -8.799083578881282, Time: 0.2134934796889623
Gen: 46, Best Score: -8.352805339809102, Avg Score: -8.871556252647656, Time: 0.21923625104957156
Gen: 47, Best Score: -8.302861847274457, Avg Score: -8.783396145679484, Time: 0.22451694866021474
Gen: 48, Best Score: -8.366564089928717, Avg Score: -8.792004434203923, Time: 0.2300303484333886
Gen: 49, Best Score: -8.302803788397382, Avg Score: -8.84175004236264, Time: 0.23630215538872612
Gen: 50, Best Score: -7.908615075286369, Avg Score: -8.582484621192116, Time: 0.2740571223364936
Gen: 51, Best Score: -8.281046198943157, Avg Score: -9.01542112753179, Time: 0.279322540362676
Gen: 52, Best Score: -8.373033404714356, Avg Score: -8.817770773421788, Time: 0.2843741646077898
Gen: 53, Best Score: -8.390238634593718, Avg Score: -8.915517340842797, Time: 0.28930013133419885
Gen: 54, Best Score: -8.254395929218198, Avg Score: -8.793023909825736, Time: 0.29498131553332013
Gen: 55, Best Score: -8.292536531458726, Avg Score: -8.795060588030264, Time: 0.3004240478409661
Gen: 56, Best Score: -8.28783705307035, Avg Score: -8.737714851548185, Time: 0.3058912307024002
Gen: 57, Best Score: -8.280581265152193, Avg Score: -8.732411604865202, Time: 0.31142955753538343
Gen: 58, Best Score: -8.403069731334092, Avg Score: -8.760374341676972, Time: 0.31702992147869535
Gen: 59, Best Score: -8.365596846587662, Avg Score: -8.803890772736034, Time: 0.32295513285530936
Gen: 60, Best Score: -7.974592523248335, Avg Score: -8.557264835282684, Time: 0.3398397401968638
Gen: 61, Best Score: -8.419337554197016, Avg Score: -8.842600776574374, Time: 0.34601419296529556
Gen: 62, Best Score: -8.367320959222912, Avg Score: -8.936372706624384, Time: 0.3517289585537381
Gen: 63, Best Score: -8.37910585184247, Avg Score: -8.841658176878958, Time: 0.3576695591211319
Gen: 64, Best Score: -8.273557755173712, Avg Score: -8.889611189737911, Time: 0.3640281607045068
Gen: 65, Best Score: -8.376692236253575, Avg Score: -8.813891141927725, Time: 0.3692674316300286
Gen: 66, Best Score: -8.339321124567622, Avg Score: -8.80657783192141, Time: 0.3751090410020616
Gen: 67, Best Score: -8.320751347739447, Avg Score: -8.972021763111297, Time: 0.3813040793604321
Gen: 68, Best Score: -8.368859327045083, Avg Score: -8.665706285202884, Time: 0.3872760922378964
Gen: 69, Best Score: -8.360806600868735, Avg Score: -8.819159449167955, Time: 0.3935637152857251
Gen: 70, Best Score: -7.9737385972979204, Avg Score: -8.612749346535738, Time: 0.4184016711182065
Gen: 71, Best Score: -8.29565950938784, Avg Score: -8.92633751456434, Time: 0.4244953611161974
Gen: 72, Best Score: -8.296788893228097, Avg Score: -8.899104565772879, Time: 0.4318263163831499
Gen: 73, Best Score: -8.306737808965318, Avg Score: -8.823217712639936, Time: 0.4381658089160919
Gen: 74, Best Score: -8.365008955652067, Avg Score: -8.918246436083297, Time: 0.44477907445695664
Gen: 75, Best Score: -8.313257014344291, Avg Score: -8.818487240285677, Time: 0.45088278465800813
Gen: 76, Best Score: -8.30958797892942, Avg Score: -8.814078911339642, Time: 0.4568326817618476
Gen: 77, Best Score: -8.272088151917549, Avg Score: -8.933725030434625, Time: 0.46206682874096766
Gen: 78, Best Score: -8.308466152223447, Avg Score: -8.839963173695859, Time: 0.4684691392713123
Gen: 79, Best Score: -8.299336552843267, Avg Score: -8.745793361063122, Time: 0.47454699946774376
Gen: 80, Best Score: -7.920407538956203, Avg Score: -8.53377696945703, Time: 0.4982194252146615
Gen: 81, Best Score: -8.257370021968901, Avg Score: -8.844526766008995, Time: 0.5044301737679375
Gen: 82, Best Score: -8.3091001352155, Avg Score: -8.774952503344393, Time: 0.5104005102316539
Gen: 83, Best Score: -8.330766477812972, Avg Score: -8.77525478916737, Time: 0.5178991383976407
Gen: 84, Best Score: -8.305934885412501, Avg Score: -8.832113957560283, Time: 0.5246076670620177
Gen: 85, Best Score: -8.263110347659406, Avg Score: -8.829314820039345, Time: 0.5311019187503391
Gen: 86, Best Score: -8.344751850259193, Avg Score: -8.74035723653629, Time: 0.5375555094745424
Gen: 87, Best Score: -8.290857009721764, Avg Score: -8.765256908679765, Time: 0.5447723305887646
Gen: 88, Best Score: -8.38836234034252, Avg Score: -8.934930103628016, Time: 0.5511523130867216
Gen: 89, Best Score: -8.321179258122719, Avg Score: -8.958300197962537, Time: 0.5576297836171256
Gen: 90, Best Score: -7.93919570198903, Avg Score: -8.638838837511308, Time: 0.5922384494543076
Gen: 91, Best Score: -8.309029312578131, Avg Score: -8.754131177206476, Time: 0.5990793694390191
Gen: 92, Best Score: -8.376878125363133, Avg Score: -8.750612779389424, Time: 0.6061228866709604
Gen: 93, Best Score: -8.335278345795537, Avg Score: -8.806703826086066, Time: 0.6129311737087038
Gen: 94, Best Score: -8.33766114869669, Avg Score: -9.0255452031618, Time: 0.6197060926755269
Gen: 95, Best Score: -8.340448981920769, Avg Score: -8.810566013311737, Time: 0.626373347375128
Gen: 96, Best Score: -8.290461981402203, Avg Score: -8.827944681485336, Time: 0.6333133633269205
Gen: 97, Best Score: -8.363232042964006, Avg Score: -9.109350668498337, Time: 0.6403295480542712
Gen: 98, Best Score: -8.365380388311822, Avg Score: -8.720623970768258, Time: 0.6478132269117567
Gen: 99, Best Score: -8.314893268596691, Avg Score: -8.789914088108688, Time: 0.6562693011098438
Gen: 100, Best Score: -8.006902137497766, Avg Score: -8.689164701632174, Time: 0.6798737379577425
Gen: 101, Best Score: -8.29808285187511, Avg Score: -8.803500945051523, Time: 0.6876444846391678
Gen: 102, Best Score: -8.34844166054772, Avg Score: -8.78208911130633, Time: 0.6957601410150528
