Trainer done: <tpg.trainer.Trainer object at 0x14d8fcdbb6d0>
Gen: 0, Best Score: -14.806582838575649, Avg Score: -24.72155732513044, Time: 0.003561318384276496
Gen: 1, Best Score: -14.05634120514193, Avg Score: -20.75461806886817, Time: 0.006721929642889235
Gen: 2, Best Score: -10.986352813997497, Avg Score: -18.96228296790432, Time: 0.009693084690305921
Gen: 3, Best Score: -10.521762801446382, Avg Score: -17.381661086000577, Time: 0.012956415481037565
Gen: 4, Best Score: -9.415230641390153, Avg Score: -16.347748654463068, Time: 0.016037759317292108
Gen: 5, Best Score: -8.821536581433786, Avg Score: -15.499057968129318, Time: 0.01840760310490926
Gen: 6, Best Score: -8.821474288438052, Avg Score: -14.66128834485134, Time: 0.020611182649930317
Gen: 7, Best Score: -8.677496558033303, Avg Score: -13.100140166561216, Time: 0.02285174661212497
Gen: 8, Best Score: -8.628156765500002, Avg Score: -12.074073265423822, Time: 0.02503318534957038
Gen: 9, Best Score: -8.631833924956496, Avg Score: -10.633435908856423, Time: 0.02731514506869846
Gen: 10, Best Score: -8.387022981630079, Avg Score: -9.812818215317732, Time: 0.032334254185358687
Gen: 11, Best Score: -8.607475470968913, Avg Score: -9.612262569079611, Time: 0.033888892067803274
Gen: 12, Best Score: -8.638716587144591, Avg Score: -9.336841335839349, Time: 0.03522321449385749
Gen: 13, Best Score: -8.702778721274312, Avg Score: -9.622375588213213, Time: 0.03668397764364879
Gen: 14, Best Score: -8.634543383946351, Avg Score: -9.484291675145302, Time: 0.038172659940189785
Gen: 15, Best Score: -8.821474288438052, Avg Score: -10.009866027050354, Time: 0.03956536802980635
Gen: 16, Best Score: -8.66329675493063, Avg Score: -9.720657313895405, Time: 0.040964511103100246
Gen: 17, Best Score: -8.746746425655703, Avg Score: -9.396339692962407, Time: 0.04230630583233304
Gen: 18, Best Score: -8.690037893496866, Avg Score: -9.666127817539847, Time: 0.04374470227294498
Gen: 19, Best Score: -8.754096513084797, Avg Score: -9.520271176201609, Time: 0.04519931369357639
Gen: 20, Best Score: -8.40507248518464, Avg Score: -9.624839107786565, Time: 0.05079432295428382
Gen: 21, Best Score: -8.7395713815357, Avg Score: -9.538902856005917, Time: 0.05235103792614407
Gen: 22, Best Score: -8.642293708620272, Avg Score: -9.364126941805404, Time: 0.053839412728945414
Gen: 23, Best Score: -8.757476480575617, Avg Score: -9.121908808672654, Time: 0.05526101933585273
Gen: 24, Best Score: -8.709119358478528, Avg Score: -9.424651774741985, Time: 0.05653386725319756
Gen: 25, Best Score: -8.821270138119509, Avg Score: -9.291907963074124, Time: 0.0579374055729972
Gen: 26, Best Score: -8.75427124387516, Avg Score: -9.72991905855284, Time: 0.059497590065002444
Gen: 27, Best Score: -8.731373652936943, Avg Score: -9.764021281465629, Time: 0.06081962770885892
Gen: 28, Best Score: -8.609469408713487, Avg Score: -9.627605572328946, Time: 0.062277563611666364
Gen: 29, Best Score: -8.631378947212214, Avg Score: -9.49418417010568, Time: 0.06385276556015014
Gen: 30, Best Score: -8.401251179166856, Avg Score: -8.843224630369996, Time: 0.06923087252510919
Gen: 31, Best Score: -8.602459564921226, Avg Score: -8.979715316808191, Time: 0.0705693843629625
Gen: 32, Best Score: -8.63132130789281, Avg Score: -9.456936635018717, Time: 0.07193877398967743
Gen: 33, Best Score: -8.642496748423676, Avg Score: -9.294326357638164, Time: 0.07338133560286628
Gen: 34, Best Score: -8.646680418949897, Avg Score: -9.348923268455952, Time: 0.07489909476704068
Gen: 35, Best Score: -8.596481447920935, Avg Score: -9.315613058769468, Time: 0.07636141571733687
Gen: 36, Best Score: -8.623559549525917, Avg Score: -9.20874434954156, Time: 0.07781870981057484
Gen: 37, Best Score: -8.61558748959223, Avg Score: -9.299692884215265, Time: 0.07932401186890073
Gen: 38, Best Score: -8.491295004512438, Avg Score: -9.07926018761122, Time: 0.08071225027243296
Gen: 39, Best Score: -8.60803010630612, Avg Score: -9.131972993326377, Time: 0.08242641303274367
Gen: 40, Best Score: -8.372205322218594, Avg Score: -8.819181076106359, Time: 0.08838669935862223
Gen: 41, Best Score: -8.606994962402192, Avg Score: -9.307746622251102, Time: 0.09038027763366699
Gen: 42, Best Score: -8.610894074029831, Avg Score: -9.014413955126804, Time: 0.09217455718252394
Gen: 43, Best Score: -8.5921694836878, Avg Score: -9.135878451317017, Time: 0.09409784913063049
Gen: 44, Best Score: -8.519465594154378, Avg Score: -8.999487363171431, Time: 0.09607423696253035
Gen: 45, Best Score: -8.588571355908755, Avg Score: -8.966937793311713, Time: 0.09799674881829155
Gen: 46, Best Score: -8.601943953994109, Avg Score: -9.128846610648678, Time: 0.1001756962802675
Gen: 47, Best Score: -8.603573036996217, Avg Score: -9.159290731430128, Time: 0.1024775367975235
Gen: 48, Best Score: -8.597929777777404, Avg Score: -9.050833360746825, Time: 0.1045785629749298
Gen: 49, Best Score: -8.56315617765608, Avg Score: -8.937075024632252, Time: 0.10686795771121979
Gen: 50, Best Score: -8.357009046532152, Avg Score: -8.825686125369252, Time: 0.11855328540007273
Gen: 51, Best Score: -8.598160528750665, Avg Score: -9.120497771558407, Time: 0.12071043140358395
Gen: 52, Best Score: -8.57350508528415, Avg Score: -9.140988077729235, Time: 0.12293946663538614
Gen: 53, Best Score: -8.626566670863667, Avg Score: -9.12684800576389, Time: 0.1253534749481413
Gen: 54, Best Score: -8.585778101581031, Avg Score: -9.191379562492262, Time: 0.1276322923766242
Gen: 55, Best Score: -8.589446579130154, Avg Score: -9.295031877280437, Time: 0.12983860300646888
Gen: 56, Best Score: -8.614199048543112, Avg Score: -9.197135864404592, Time: 0.13235185583432515
Gen: 57, Best Score: -8.61556783646595, Avg Score: -9.226489476713873, Time: 0.1353428358501858
Gen: 58, Best Score: -8.588743665764863, Avg Score: -9.191211190364672, Time: 0.13774574915568033
Gen: 59, Best Score: -8.589254414033775, Avg Score: -9.25627250983916, Time: 0.14044107059637706
Gen: 60, Best Score: -8.36550838636056, Avg Score: -8.968815718864445, Time: 0.1519353669219547
Gen: 61, Best Score: -8.602222464749612, Avg Score: -9.463849035936743, Time: 0.15489791108502282
Gen: 62, Best Score: -8.572435919083805, Avg Score: -8.988004780817345, Time: 0.15772413677639432
Gen: 63, Best Score: -8.61827643552886, Avg Score: -9.284525841095991, Time: 0.16062184426519605
Gen: 64, Best Score: -8.593064190846658, Avg Score: -9.16206170022937, Time: 0.16377354032463498
Gen: 65, Best Score: -8.590152207051052, Avg Score: -9.197437466067896, Time: 0.16702989439169566
Gen: 66, Best Score: -8.570489809048873, Avg Score: -9.414488907444643, Time: 0.17031428085433112
Gen: 67, Best Score: -8.576352501403331, Avg Score: -9.556332353046002, Time: 0.17315752294328476
Gen: 68, Best Score: -8.57544033262109, Avg Score: -9.152759652379013, Time: 0.17622813999652862
Gen: 69, Best Score: -8.53812528785686, Avg Score: -9.04352294397112, Time: 0.17932126257154676
Gen: 70, Best Score: -8.349988645899693, Avg Score: -8.761407089782198, Time: 0.1891073387198978
Gen: 71, Best Score: -8.556407017190605, Avg Score: -9.074600363736822, Time: 0.19263550831211937
Gen: 72, Best Score: -8.574056306838704, Avg Score: -8.841387057665674, Time: 0.1956882170836131
