Trainer done: <tpg.trainer.Trainer object at 0x14c9094251b0>
Gen: 99, Best Score: -17228218874958.879, Avg Score: -67361082962384.8, Time: 0.003938113848368327
Gen: 100, Best Score: -13481844199976.66, Avg Score: -18678471130027.242, Time: 0.0259714189502928
Gen: 101, Best Score: -16214489804275.016, Avg Score: -22806860143204.715, Time: 0.02743553340435028
Gen: 102, Best Score: -17228218874958.879, Avg Score: -21501509142882.785, Time: 0.029035828113555907
Gen: 103, Best Score: -15932164512156.404, Avg Score: -20508271680296.195, Time: 0.030755787359343634
Gen: 104, Best Score: -16120143097079.102, Avg Score: -21450609181898.516, Time: 0.03277844236956702
Gen: 105, Best Score: -16102230272672.875, Avg Score: -20652915437838.035, Time: 0.03454011645581987
Gen: 106, Best Score: -16148497527972.348, Avg Score: -21139496878110.645, Time: 0.036454976664649114
Gen: 107, Best Score: -16060067561229.645, Avg Score: -21551872539830.027, Time: 0.03824559258090125
Gen: 108, Best Score: -15356082044059.229, Avg Score: -20620823472940.1, Time: 0.04031496107578278
Gen: 109, Best Score: -16562977457354.654, Avg Score: -19001722342311.73, Time: 0.042301401164796616
Gen: 110, Best Score: -13162356046766.752, Avg Score: -15671779310210.914, Time: 0.05530417256885105
Gen: 111, Best Score: -15950402131806.562, Avg Score: -21685106323291.81, Time: 0.056795515815416975
Gen: 112, Best Score: -15950402131806.562, Avg Score: -21508055132307.38, Time: 0.058415735960006716
Gen: 113, Best Score: -15610172827827.264, Avg Score: -20079989629592.76, Time: 0.060005677276187476
Gen: 114, Best Score: -15936878462236.275, Avg Score: -18659712936799.426, Time: 0.061640405389997696
Gen: 115, Best Score: -15507198796889.627, Avg Score: -19519518360427.9, Time: 0.06322228252887725
Gen: 116, Best Score: -15950402131806.562, Avg Score: -19670714160031.17, Time: 0.06472132424513499
Gen: 117, Best Score: -15938628649590.8, Avg Score: -18507359588510.05, Time: 0.06612607916196188
Gen: 118, Best Score: -15938628649590.8, Avg Score: -18487460306384.094, Time: 0.06760383480125004
Gen: 119, Best Score: -15938628649590.8, Avg Score: -18455043380851.734, Time: 0.06928480333752102
Gen: 120, Best Score: -13149415061050.385, Avg Score: -14528226783036.473, Time: 0.08011996719572279
Gen: 121, Best Score: -15938628649588.803, Avg Score: -21217840632148.824, Time: 0.08218809088071187
Gen: 122, Best Score: -15777134354756.506, Avg Score: -19716128163978.6, Time: 0.08397292534510295
Gen: 123, Best Score: -15481895097677.45, Avg Score: -17477724059887.764, Time: 0.08589693288008372
Gen: 124, Best Score: -15437382681804.645, Avg Score: -18028440022461.07, Time: 0.08757891383435991
Gen: 125, Best Score: -15403391038080.258, Avg Score: -17577367726293.316, Time: 0.08942589726712968
Gen: 126, Best Score: -15456482525610.607, Avg Score: -16842589535936.74, Time: 0.09087017079194387
Gen: 127, Best Score: -15635730069240.096, Avg Score: -17685039582963.938, Time: 0.0924451443221834
Gen: 128, Best Score: -15610172831575.684, Avg Score: -17734981567186.652, Time: 0.09397056698799133
Gen: 129, Best Score: -15481895097691.883, Avg Score: -16948413152887.79, Time: 0.09547830104827881
Gen: 130, Best Score: -13149415061049.598, Avg Score: -14323800046098.35, Time: 0.10252302355236477
Gen: 131, Best Score: -15454628855455.836, Avg Score: -18008392541531.023, Time: 0.10385913305812412
Gen: 132, Best Score: -15610172828426.2, Avg Score: -17454668717029.943, Time: 0.1052777542008294
Gen: 133, Best Score: -15480434810314.031, Avg Score: -16509703899191.447, Time: 0.10666627162032657
Gen: 134, Best Score: -15938628649590.8, Avg Score: -17118272175916.967, Time: 0.10811134729120467
Gen: 135, Best Score: -15481895097700.84, Avg Score: -16935857721076.473, Time: 0.10946886645423042
Gen: 136, Best Score: -15697997438929.854, Avg Score: -17573141538913.38, Time: 0.11083053780926598
Gen: 137, Best Score: -15535335881874.691, Avg Score: -16782767791726.127, Time: 0.11216779947280883
Gen: 138, Best Score: -15703514523376.664, Avg Score: -16971909331698.666, Time: 0.11372643782032861
Gen: 139, Best Score: -15938628649576.07, Avg Score: -17365002072566.607, Time: 0.11511322127448188
Gen: 140, Best Score: -13149415061056.764, Avg Score: -14329467528446.719, Time: 0.11972519550058577
Gen: 141, Best Score: -15435460924394.746, Avg Score: -17272864637319.562, Time: 0.12131612863805559
Gen: 142, Best Score: -15524947226211.94, Avg Score: -17375968154797.0, Time: 0.12281056609418657
Gen: 143, Best Score: -15390506848788.254, Avg Score: -17241884726393.443, Time: 0.12440927061769698
Gen: 144, Best Score: -15521188781630.102, Avg Score: -18020372303141.926, Time: 0.12605626059903038
Gen: 145, Best Score: -15481895097699.75, Avg Score: -16810544233270.12, Time: 0.1274632551934984
Gen: 146, Best Score: -15938628649590.8, Avg Score: -16822032230233.824, Time: 0.12905904750029246
Gen: 147, Best Score: -15521188781632.541, Avg Score: -17233164907093.357, Time: 0.13049890650643242
Gen: 148, Best Score: -15435460924392.2, Avg Score: -17134869095756.037, Time: 0.13200337456332312
Gen: 149, Best Score: -15476247354792.463, Avg Score: -17044962316502.807, Time: 0.13343456718656752
Gen: 150, Best Score: -13149415061052.387, Avg Score: -14457895596066.74, Time: 0.13814116802480486
Gen: 151, Best Score: -15481895097698.982, Avg Score: -17215217268685.584, Time: 0.139668970240487
Gen: 152, Best Score: -15401198410007.27, Avg Score: -18036441198763.387, Time: 0.1410694611734814
Gen: 153, Best Score: -15489118895329.676, Avg Score: -17420927551530.232, Time: 0.14248708857430353
Gen: 154, Best Score: -15396970986221.965, Avg Score: -17004368227808.896, Time: 0.1441374076075024
Gen: 155, Best Score: -15480434810309.875, Avg Score: -16743006179333.074, Time: 0.14555200503932106
Gen: 156, Best Score: -15353910735696.291, Avg Score: -16849476923946.562, Time: 0.1471716383430693
Gen: 157, Best Score: -15414133040266.428, Avg Score: -17428646796181.55, Time: 0.14883309847778745
Gen: 158, Best Score: -15437382681813.186, Avg Score: -18224921015781.875, Time: 0.15029750340514714
Gen: 159, Best Score: -15909864415423.363, Avg Score: -17481976513831.166, Time: 0.15189725326167214
Gen: 160, Best Score: -13149415061051.654, Avg Score: -14385366165698.568, Time: 0.1564460915989346
Gen: 161, Best Score: -15501804596191.309, Avg Score: -17745912827142.7, Time: 0.1579405411084493
Gen: 162, Best Score: -15426842074503.9, Avg Score: -16294620577177.914, Time: 0.15943425039450326
Gen: 163, Best Score: -15480434810309.738, Avg Score: -16994864953427.7, Time: 0.16096930430995093
Gen: 164, Best Score: -15938628649590.8, Avg Score: -16725220410709.783, Time: 0.1624288402663337
Gen: 165, Best Score: -15864922987992.191, Avg Score: -17352109646945.406, Time: 0.16399564385414123
Gen: 166, Best Score: -15938628649590.8, Avg Score: -17750050075715.42, Time: 0.16550392945607503
Gen: 167, Best Score: -15521188781635.623, Avg Score: -17640100669387.863, Time: 0.16709033654795752
Gen: 168, Best Score: -15476247354781.73, Avg Score: -17451827980416.426, Time: 0.16859536826610566
Gen: 169, Best Score: -15407668902847.225, Avg Score: -16778596926152.877, Time: 0.16990063607692718
Gen: 170, Best Score: -13149415061051.646, Avg Score: -14425876383824.434, Time: 0.1756150890721215
Gen: 171, Best Score: -15561154483979.514, Avg Score: -16857431944456.227, Time: 0.17713925706015693
Gen: 172, Best Score: -15803146293867.914, Avg Score: -17193712569564.39, Time: 0.1786418049203025
Gen: 173, Best Score: -15521188781631.043, Avg Score: -16676834272407.854, Time: 0.17998732957575056
Gen: 174, Best Score: -15362546181480.39, Avg Score: -17827360685930.027, Time: 0.18148123933209312
Gen: 175, Best Score: -15435460924380.965, Avg Score: -17928130318809.605, Time: 0.1830459314584732
Gen: 176, Best Score: -15515826120674.193, Avg Score: -18026267669714.85, Time: 0.1844501467545827
Gen: 177, Best Score: -15924844890411.516, Avg Score: -16741715132426.59, Time: 0.18616538160377077
Gen: 178, Best Score: -15481895097679.2, Avg Score: -16927117242328.174, Time: 0.18762868728902604
Gen: 179, Best Score: -15938628649572.781, Avg Score: -16647208606140.23, Time: 0.1889558631181717
Gen: 180, Best Score: -13149415061051.654, Avg Score: -14105273189559.621, Time: 0.1973026031255722
Gen: 181, Best Score: -15595192352221.879, Avg Score: -17158854438956.676, Time: 0.19872101167837777
