Trainer done: <tpg.trainer.Trainer object at 0x148c83c7e590>
Gen: 0, Best Score: -10093.507999225872, Avg Score: -10095.597857450768, Time: 0.00900474747021993
Gen: 1, Best Score: -10093.507999225872, Avg Score: -10095.42460973908, Time: 0.01712701678276062
Gen: 2, Best Score: -10093.507999225872, Avg Score: -10095.330652901372, Time: 0.024468695322672526
Gen: 3, Best Score: -10093.00221945612, Avg Score: -10095.189591513066, Time: 0.032502281996938914
Gen: 4, Best Score: -10092.94101398734, Avg Score: -10095.0787878577, Time: 0.04137565831343333
Gen: 5, Best Score: -10092.520444849262, Avg Score: -10094.93219507192, Time: 0.050185115800963506
Gen: 6, Best Score: -10092.365581198972, Avg Score: -10094.735365351973, Time: 0.05946644047896067
Gen: 7, Best Score: -10092.130987468996, Avg Score: -10094.557812612062, Time: 0.06871747533480327
Gen: 8, Best Score: -10091.238095113598, Avg Score: -10094.358250961825, Time: 0.07884996566507552
Gen: 9, Best Score: -10090.960906632716, Avg Score: -10094.018433489704, Time: 0.08946037762694889
Gen: 10, Best Score: -0.10802603226655065, Avg Score: -0.29693533716032783, Time: 0.12363763968149821
Gen: 11, Best Score: -10089.28254775119, Avg Score: -10093.423462985076, Time: 0.13500269220934974
Gen: 12, Best Score: -10086.996121179933, Avg Score: -10092.807248376112, Time: 0.14625645021597544
Gen: 13, Best Score: -10088.713905187213, Avg Score: -10092.591258732991, Time: 0.15853042748239304
Gen: 14, Best Score: -10088.569316114199, Avg Score: -10092.221395785105, Time: 0.1714801243940989
Gen: 15, Best Score: -10087.696474812945, Avg Score: -10091.684820622537, Time: 0.18393797596295675
Gen: 16, Best Score: -10087.976217012021, Avg Score: -10091.532465677798, Time: 0.19613719079229566
Gen: 17, Best Score: -10087.715032681004, Avg Score: -10091.104652206004, Time: 0.20893674737877316
Gen: 18, Best Score: -10087.721812263517, Avg Score: -10090.917704024905, Time: 0.22163522044817607
Gen: 19, Best Score: -10087.833556844245, Avg Score: -10090.648026830375, Time: 0.2351167486111323
Gen: 20, Best Score: -0.08866697442028433, Avg Score: -0.1495229608923436, Time: 0.3561118322610855
