Trainer done: <tpg.trainer.Trainer object at 0x150cf6a1e590>
Gen: 0, Best Score: -0.09798204178501517, Avg Score: -0.2911122767427654, Time: 0.008277196817927891
Gen: 1, Best Score: -0.08645756540149974, Avg Score: -0.22544941136626453, Time: 0.01581199162536197
Gen: 2, Best Score: -0.09027766244713104, Avg Score: -0.18786295566690142, Time: 0.02227732221285502
Gen: 3, Best Score: -0.06670733992072458, Avg Score: -0.15424901250249506, Time: 0.028602104584376016
Gen: 4, Best Score: -0.07772315105349292, Avg Score: -0.14173951882187757, Time: 0.033902114431063335
Gen: 5, Best Score: -0.07396263265782073, Avg Score: -0.1277994109380664, Time: 0.03856148130363888
Gen: 6, Best Score: -0.06915119601387529, Avg Score: -0.12252820612935801, Time: 0.04227723744180467
Gen: 7, Best Score: -0.07285827788845683, Avg Score: -0.11183354509570859, Time: 0.04525294178062015
Gen: 8, Best Score: -0.0641696224004636, Avg Score: -0.12133518102740477, Time: 0.048348808222346835
Gen: 9, Best Score: -0.07128374315471643, Avg Score: -0.11541034812135739, Time: 0.051663218206829495
Gen: 10, Best Score: -10093.067910800322, Avg Score: -10096.429615292725, Time: 0.06559660156567891
Gen: 11, Best Score: -0.07242373134789348, Avg Score: -0.1245212565602945, Time: 0.06905795647038354
Gen: 12, Best Score: -0.0710448336392067, Avg Score: -0.10864778151714892, Time: 0.07263923048973084
Gen: 13, Best Score: -0.07419234827725202, Avg Score: -0.10307132374078823, Time: 0.07699296004242367
Gen: 14, Best Score: -0.07086521390295063, Avg Score: -0.10099801770414135, Time: 0.08096936444441477
Gen: 15, Best Score: -0.06549816487328412, Avg Score: -0.09797621614769383, Time: 0.08457721226745181
Gen: 16, Best Score: -0.06637526087475631, Avg Score: -0.09999147502599762, Time: 0.0886986796061198
Gen: 17, Best Score: -0.05806109883384661, Avg Score: -0.09612091605544744, Time: 0.09254890183607738
Gen: 18, Best Score: -0.06612650465584788, Avg Score: -0.09484350705117145, Time: 0.09611395683553484
Gen: 19, Best Score: -0.06519566502684439, Avg Score: -0.09114651478375359, Time: 0.0999296944671207
Gen: 20, Best Score: -10093.620783390601, Avg Score: -10096.550266968161, Time: 0.11300066577063667
Gen: 21, Best Score: -0.0647696316136536, Avg Score: -0.0986167758998946, Time: 0.1176359494527181
Gen: 22, Best Score: -0.05776184646532272, Avg Score: -0.09213908865449652, Time: 0.12201639506551955
Gen: 23, Best Score: -0.062402222256226283, Avg Score: -0.09013502070634583, Time: 0.12658631371127235
