offset,duration_ppq,pitch
0.857143,0.25,0.566667
1.07142875,0.25,0.6
1.2857145,0.25,0.666667
1.50000025,0.25,0.566667
1.714286,0.25,0.6
1.92857175,0.25,0.666667
2.1428575,0.25,0.4
2.35714325,0.25,0.516667
2.571429,0.25,0.566667
2.571429,0.75,0.6
2.78571475,0.25,0.666667
3.0000005,0.25,0.566667
3.21428625,0.25,0.6
3.428572,0.25,0.666667
3.64285775,0.25,0.283333
3.8571435,0.25,0.483333
3.8571435,0.75,0.55
4.07142925,0.25,0.6
4.285715,0.25,0.666667
4.50000075,0.25,0.55
4.7142865,0.25,0.6
4.92857225,0.25,0.666667
5.142858,0.25,0.283333
5.142858,0.75,0.483333
5.35714375,0.25,0.55
5.5714295,0.25,0.6
5.78571525,0.25,0.666667
6.000001,0.25,0.55
6.21428675,0.25,0.6
6.4285725,0.25,0.666667
6.64285825,0.25,0.3
6.857144,0.25,0.4
7.07142975,0.25,0.55
7.2857155,0.25,0.6
7.50000125,0.25,0.65
7.714287,0.25,0.55
7.714287,0.75,0.6
7.92857275,0.25,0.65
8.1428585,0.25,0.3
8.35714425,0.25,0.4
8.57143,0.25,0.55
8.78571575,0.25,0.6
9.0000015,0.25,0.65
9.0000015,0.75,0.55
9.21428725,0.25,0.6
9.428573,0.25,0.65
9.64285875,0.25,0.316667
9.8571445,0.25,0.45
10.07143025,0.25,0.583333
10.285716,0.25,0.6000000.609567
10.285716,0.75,0.6500000.616310
10.50000175,0.25,0.5833330.620330
10.7142875,0.25,0.6000000.627241
11.142859,0.25,0.6500000.616310
11.35714475,0.25,0.3166670.500000
11.5714305,0.25,0.4500000.500000
11.78571625,0.25,0.5833330.567421
12.000002,0.25,0.6000000.604600
12.21428775,0.25,0.6500000.614157
12.4285735,0.25,0.5833330.620330
12.64285925,0.25,0.6000000.627241
12.857145,0.25,0.6500000.614157
12.857145,0.75,0.3333330.500000
13.07143075,0.25,0.4833330.500000
13.2857165,0.25,0.5833330.567421
13.50000225,0.25,0.6000000.604600
13.714288,0.25,0.6333330.614157
13.92857375,0.25,0.5833330.620330
14.1428595,0.25,0.6000000.627241
14.1428595,0.75,0.6333330.614157
14.35714525,0.25,0.3333330.500000
14.571431,0.25,0.4833330.500000
14.78571675,0.25,0.5833330.570956
15.0000025,0.25,0.6000000.590579
15.21428825,0.25,0.6333330.614157
15.428574,0.25,0.5833330.620330
15.428574,0.5,0.6000000.625653
15.64285975,0.25,0.6333330.614157
15.8571455,0.25,0.3166670.500000
16.07143125,0.25,0.4833330.500000
16.285717,0.25,0.5166670.570956
16.50000275,0.25,0.5833330.590579
16.7142885,0.25,0.6333330.614157
16.92857425,0.25,0.5166670.620330
17.14286,0.25,0.5833330.625653
17.35714575,0.25,0.6333330.614157
17.5714315,0.25,0.3166670.500000
17.78571725,0.25,0.4833330.500000
18.000003,0.25,0.5166670.574420
18.000003,0.5,0.5833330.599262
18.21428875,0.25,0.6333330.618367
18.4285745,0.25,0.5166670.632830
18.64286025,0.25,0.5833330.621414
18.857146,0.25,0.6333330.622160
19.07143175,0.25,0.3166670.500000
19.2857175,0.25,0.4666670.500000
19.2857175,0.5,0.5166670.622160
19.50000325,0.25,0.6000000.607131
19.714289,0.25,0.6666670.607131
19.92857475,0.25,0.5166670.616405
20.1428605,0.25,0.6000000.620855
20.35714625,0.25,0.6666670.621923
20.571432,0.25,0.3166670.622597
20.571432,0.5,0.4666670.500000
20.78571775,0.25,0.5166670.500000
21.0000035,0.25,0.6000000.607131
21.21428925,0.25,0.6666670.607131
21.428575,0.25,0.5166670.616405
21.64286075,0.25,0.6000000.620855
21.8571465,0.25,0.6666670.621923
21.8571465,0.75,0.3166670.622597
22.07143225,0.25,0.4333330.500000
22.285718,0.25,0.5166670.500000
22.50000375,0.25,0.6000000.607131
22.7142895,0.25,0.6833330.607131
22.92857525,0.25,0.5166670.616848
23.142861,0.25,0.6000000.619232
23.142861,0.75,0.6833330.621923
23.35714675,0.25,0.3166670.622597
23.5714325,0.25,0.4333330.500000
23.78571825,0.25,0.5166670.500000
24.000004,0.25,0.6000000.607131
24.21428975,0.25,0.6833330.607131
24.4285755,0.25,0.5166670.616848
24.4285755,0.75,0.6000000.619232
24.64286125,0.25,0.6833330.621923
24.857147,0.25,0.3166670.622597
25.07143275,0.25,0.4333330.500000
25.2857185,0.25,0.5166670.500000
25.50000425,0.25,0.5833330.607131
25.71429,0.25,0.6833330.607131
25.71429,0.5,0.5166670.617279
25.92857575,0.25,0.5833330.620245
26.1428615,0.25,0.6833330.622384
26.35714725,0.25,0.3166670.623921
26.571433,0.25,0.4333330.500000
26.78571875,0.25,0.5166670.500000
27.0000045,0.25,0.5833330.607131
27.21429025,0.25,0.6833330.607131
27.428576,0.25,0.5166670.622794
27.64286175,0.25,0.5166670.621141
27.8571475,0.25,0.5833330.621141
28.07143325,0.25,0.6833330.622170
28.285719,0.25,0.3166670.500000
28.50000475,0.25,0.4500000.500000
28.7142905,0.25,0.5500000.622841
28.92857625,0.25,0.6000000.607131
29.142862,0.25,0.7000000.607131
29.35714775,0.25,0.5500000.621141
29.5714335,0.25,
29.5714335,0.5,
29.78571925,0.25,
30.000005,0.25,
30.21429075,0.25,
30.4285765,0.25,
30.64286225,0.25,
30.857148,0.25,
30.857148,0.5,
31.07143375,0.25,
31.2857195,0.25,
31.50000525,0.25,
31.714291,0.25,
31.92857675,0.25,
32.1428625,0.25,
32.1428625,0.5,
32.35714825,0.25,
32.571434,0.25,
32.78571975,0.25,
33.0000055,0.25,
33.21429125,0.25,
33.428577,0.25,
33.64286275,0.25,
33.8571485,0.25,
