Gen: 0, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.011909994350539313
Gen: 1, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.02311741338835822
Gen: 2, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.03468814452489217
Gen: 3, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.046652679244677225
Gen: 4, Best Score: -146.65906144502378, Avg Score: -inf, Time: 0.0594018018245697
Gen: 5, Best Score: -146.6581960169471, Avg Score: -inf, Time: 0.07301811893781027
Gen: 6, Best Score: -146.65315741905957, Avg Score: -inf, Time: 0.08562251011530558
Gen: 7, Best Score: -146.6508920218211, Avg Score: -inf, Time: 0.09761844886673822
Gen: 8, Best Score: -146.65680234361017, Avg Score: -inf, Time: 0.11071462392807006
Gen: 9, Best Score: -146.6000416887594, Avg Score: -inf, Time: 0.1219640361600452
Gen: 10, Best Score: -146.6000416887594, Avg Score: -inf, Time: 0.13428538276089563
Gen: 11, Best Score: -146.6000416887594, Avg Score: -inf, Time: 0.1468099777566062
Gen: 12, Best Score: -146.6000416887594, Avg Score: -inf, Time: 0.15721928139527638
Gen: 13, Best Score: -146.6000416887594, Avg Score: -inf, Time: 0.16783506492773692
Gen: 14, Best Score: -146.6000416887594, Avg Score: -inf, Time: 0.17880483018027413
Gen: 15, Best Score: -146.59918695949335, Avg Score: -inf, Time: 0.18969515403111775
Gen: 16, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.19934914416737026
Gen: 17, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.21005586677127414
Gen: 18, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.22159044093555874
Gen: 19, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.23458357161945767
Gen: 20, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.24716953814029693
Gen: 21, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.25965981953673895
Gen: 22, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.27322056611378986
Gen: 23, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.28601787712838916
Gen: 24, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.2994601689444648
Gen: 25, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.3133253812127643
Gen: 26, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.3289670013719135
Gen: 27, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.3444145936436123
Gen: 28, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.3617173817422655
Gen: 29, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.37921880390908985
Gen: 30, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.39638360149330565
Gen: 31, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.41279260065820483
Gen: 32, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.4287424929274453
Gen: 33, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.44520350158214567
Gen: 34, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.4608221458726459
Gen: 35, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.4766979466544257
Gen: 36, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.49191487186484867
Gen: 37, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5072937589883805
Gen: 38, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5176002317004733
Gen: 39, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.524206703570154
Gen: 40, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5308736650811301
Gen: 41, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5392448970344331
Gen: 42, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.547579767174191
Gen: 43, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5565365603235033
Gen: 44, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5660610685745875
Gen: 45, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5747852589686712
Gen: 46, Best Score: -146.33970410786617, Avg Score: -inf, Time: 0.5837409811549716
Gen: 47, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.5934187102980084
Gen: 48, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.6028583053085539
Gen: 49, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.6107328004307218
Gen: 50, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.6190416153934267
Gen: 51, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.6255703930722343
Gen: 52, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.6323097875383166
Gen: 53, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.639315125213729
Gen: 54, Best Score: -146.30341508481462, Avg Score: -inf, Time: 0.6454508403274748
Gen: 55, Best Score: -146.29550062373806, Avg Score: -inf, Time: 0.6517289755079482
Gen: 56, Best Score: -146.29550062373806, Avg Score: -inf, Time: 0.6576356399721569
Gen: 57, Best Score: -146.29550062373806, Avg Score: -inf, Time: 0.6637295469972823
Gen: 58, Best Score: -146.29550062373806, Avg Score: -inf, Time: 0.6695892573065227
Gen: 59, Best Score: -146.22684284433097, Avg Score: -inf, Time: 0.6752104443311692
Gen: 60, Best Score: -146.29550062373806, Avg Score: -inf, Time: 0.6811141542593638
Gen: 61, Best Score: -146.29550062373806, Avg Score: -inf, Time: 0.6870942626396815
Gen: 62, Best Score: -146.29550062373806, Avg Score: -inf, Time: 0.6934526483880149
Gen: 63, Best Score: -146.287889321022, Avg Score: -inf, Time: 0.6996730609734854
Gen: 64, Best Score: -146.254873268048, Avg Score: -inf, Time: 0.7059905383984247
Gen: 65, Best Score: -146.29134122213046, Avg Score: -inf, Time: 0.711970746450954
Gen: 66, Best Score: -146.2870512769485, Avg Score: -inf, Time: 0.7184179246425628
Gen: 67, Best Score: -145.85831153681173, Avg Score: -inf, Time: 0.7248782693015204
Gen: 68, Best Score: -145.85831153681173, Avg Score: -inf, Time: 0.7316649897230996
Gen: 69, Best Score: -145.84933274373677, Avg Score: -inf, Time: 0.7379102460543314
Gen: 70, Best Score: -145.85831153681173, Avg Score: -inf, Time: 0.7445702303118176
Gen: 71, Best Score: -145.84933274373677, Avg Score: -inf, Time: 0.7511052542262607
Gen: 72, Best Score: -145.84141828266021, Avg Score: -inf, Time: 0.7575301876333025
Gen: 73, Best Score: -145.84933274373677, Avg Score: -inf, Time: 0.7640103091796239
Gen: 74, Best Score: -145.84141828266021, Avg Score: -inf, Time: 0.7716321094830831
Gen: 75, Best Score: -145.84141828266021, Avg Score: -inf, Time: 0.7787537584702174
Gen: 76, Best Score: -145.84141828266021, Avg Score: -inf, Time: 0.7868539416790008
Gen: 77, Best Score: -145.84141828266021, Avg Score: -inf, Time: 0.7950088253948424
Gen: 78, Best Score: -145.8329689358706, Avg Score: -inf, Time: 0.8032394065459569
Gen: 79, Best Score: -145.8250544747941, Avg Score: -inf, Time: 0.8109556102752685
Gen: 80, Best Score: -145.8250544747941, Avg Score: -inf, Time: 0.8183508474296993
Gen: 81, Best Score: -145.8250544747941, Avg Score: -inf, Time: 0.8254791975021363
Gen: 82, Best Score: -145.8250544747941, Avg Score: -1.8613194267716953e+53, Time: 0.832865622440974
Gen: 83, Best Score: -145.8250544747941, Avg Score: -inf, Time: 0.8400162815385395
Gen: 84, Best Score: -145.82540987552528, Avg Score: -inf, Time: 0.8471109370390574
Gen: 85, Best Score: -145.8250544747941, Avg Score: -inf, Time: 0.8545393203364479
Gen: 86, Best Score: -145.8250544747941, Avg Score: -inf, Time: 0.8623305792940987
Gen: 87, Best Score: -145.8250544747941, Avg Score: -4.6040100500795846e+52, Time: 0.8695913324091169
Gen: 88, Best Score: -145.81749541444873, Avg Score: -inf, Time: 0.8773505591683918
Gen: 89, Best Score: -145.81749541444873, Avg Score: -inf, Time: 0.8855964399046368
Gen: 90, Best Score: -145.81749541444873, Avg Score: -inf, Time: 0.8938499591747919
Gen: 91, Best Score: -145.8171676253366, Avg Score: -inf, Time: 0.9024014830589294
Gen: 92, Best Score: -145.81749541444873, Avg Score: -3.337151990281277e+51, Time: 0.9108004458083047
Gen: 93, Best Score: -145.8171676253366, Avg Score: -inf, Time: 0.9197518095705244
Gen: 94, Best Score: -145.81749541444873, Avg Score: -3.715444742144391e+52, Time: 0.9283383362160789
Gen: 95, Best Score: -145.81749541444873, Avg Score: -inf, Time: 0.9370462276538213
Gen: 96, Best Score: -145.73000973357335, Avg Score: -inf, Time: 0.9463451462984085
Gen: 97, Best Score: -145.73000973357335, Avg Score: -2.6281006775733138e+75, Time: 0.9546519320540958
Gen: 98, Best Score: -145.73000973357335, Avg Score: -1.0650222679181483e+52, Time: 0.9630209834708108
Gen: 99, Best Score: -145.444717585263, Avg Score: -2.3442323143192693e+52, Time: 0.9718254352940453
Gen: 100, Best Score: -145.444717585263, Avg Score: -3.4694892424794246e+52, Time: 0.9813735247320599
Gen: 101, Best Score: -145.444717585263, Avg Score: -8.051170762266782e+97, Time: 0.9902072950866487
Gen: 102, Best Score: -145.42870917812806, Avg Score: -inf, Time: 0.9994778535101149
Gen: 103, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.0086990055772993
Gen: 104, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.0185194114844005
Gen: 105, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.027916012869941
Gen: 106, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.0379295612043804
Gen: 107, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.046821841730012
Gen: 108, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.0558453792333602
Gen: 109, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.0651778439018462
Gen: 110, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.0744615658786563
Gen: 111, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.083983656167984
Gen: 112, Best Score: -145.42870917812806, Avg Score: -inf, Time: 1.0935664690203137
Gen: 113, Best Score: -145.38292697712862, Avg Score: -inf, Time: 1.1025384355253642
Gen: 114, Best Score: -145.38292697712862, Avg Score: -inf, Time: 1.1109669116470549
Gen: 115, Best Score: -145.31860720882253, Avg Score: -inf, Time: 1.1187882602214814
Gen: 116, Best Score: -145.31860720882253, Avg Score: -inf, Time: 1.1270942800574832
Gen: 117, Best Score: -145.31860720882253, Avg Score: -inf, Time: 1.1351361774073707
Gen: 118, Best Score: -145.31860720882253, Avg Score: -inf, Time: 1.1432419640488094
Gen: 119, Best Score: -145.30706736993952, Avg Score: -inf, Time: 1.1519083624415927
Gen: 120, Best Score: -145.3110481484772, Avg Score: -inf, Time: 1.1602667983373005
Gen: 121, Best Score: -145.3110481484772, Avg Score: -inf, Time: 1.170364252196418
Gen: 122, Best Score: -145.30706736993952, Avg Score: -inf, Time: 1.179956562783983
Gen: 123, Best Score: -145.30706736993952, Avg Score: -inf, Time: 1.1895530992746353
Gen: 124, Best Score: -145.30706736993952, Avg Score: -inf, Time: 1.1991538308726417
Gen: 125, Best Score: -145.30706736993952, Avg Score: -inf, Time: 1.2092468192842272
Gen: 126, Best Score: -145.30706736993952, Avg Score: -inf, Time: 1.2188726269536547
Gen: 127, Best Score: -145.30706736993952, Avg Score: -inf, Time: 1.2292341975371044
Gen: 128, Best Score: -145.30255497938907, Avg Score: -inf, Time: 1.2394189871682062
Gen: 129, Best Score: -145.30255497938907, Avg Score: -inf, Time: 1.2496130133337444
Gen: 130, Best Score: -145.30255497938907, Avg Score: -inf, Time: 1.2602210261424382
Gen: 131, Best Score: -145.30255497938907, Avg Score: -inf, Time: 1.2701630106899473
Gen: 132, Best Score: -145.29857420085142, Avg Score: -inf, Time: 1.2812736950980292
Gen: 133, Best Score: -145.29857420085142, Avg Score: -inf, Time: 1.2915616486469905
Gen: 134, Best Score: -145.29857420085142, Avg Score: -inf, Time: 1.3015659901830885
Gen: 135, Best Score: -145.29857420085142, Avg Score: -inf, Time: 1.3116595602035523
Gen: 136, Best Score: -145.30249149848277, Avg Score: -inf, Time: 1.3231661415100098
Gen: 137, Best Score: -145.30249149848277, Avg Score: -inf, Time: 1.3333970718913608
Gen: 138, Best Score: -145.29857420085142, Avg Score: -inf, Time: 1.3439879127343495
Gen: 139, Best Score: -145.29857420085142, Avg Score: -inf, Time: 1.3551303588019477
Gen: 140, Best Score: -145.29857420085142, Avg Score: -inf, Time: 1.3665400755405426
Gen: 141, Best Score: -145.28177565238707, Avg Score: -inf, Time: 1.3784134670098622
Gen: 142, Best Score: -145.2893347127324, Avg Score: -inf, Time: 1.3897975393798616
Gen: 143, Best Score: -145.2893347127324, Avg Score: -inf, Time: 1.4009276963604822
Gen: 144, Best Score: -145.28177565238707, Avg Score: -inf, Time: 1.4121065349049038
Gen: 145, Best Score: -145.2777948738494, Avg Score: -inf, Time: 1.4232686175902685
Gen: 146, Best Score: -145.28177565238707, Avg Score: -inf, Time: 1.4341287316216362
Gen: 147, Best Score: -145.24112139234538, Avg Score: -inf, Time: 1.4451380160119798
Gen: 148, Best Score: -145.2490973090919, Avg Score: -inf, Time: 1.4561859578556484
Gen: 149, Best Score: -134.62692855621682, Avg Score: -inf, Time: 1.466719462606642
Gen: 150, Best Score: -133.9690181693682, Avg Score: -inf, Time: 1.4777454753716788
Gen: 151, Best Score: -132.12323092491314, Avg Score: -inf, Time: 1.488441281053755
Gen: 152, Best Score: -134.4042931057789, Avg Score: -inf, Time: 1.4995327185259926
Gen: 153, Best Score: -145.24112139234538, Avg Score: -inf, Time: 1.5105335162745581
Gen: 154, Best Score: -145.24112139234538, Avg Score: -inf, Time: 1.5216454041666454
Gen: 155, Best Score: -145.24112139234538, Avg Score: -inf, Time: 1.5326584857039982
Gen: 156, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.5440270164277818
Gen: 157, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.5546261345015633
Gen: 158, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.5653156841463514
Gen: 159, Best Score: -145.23119429766265, Avg Score: -inf, Time: 1.5760471344656415
Gen: 160, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.5871601551771164
Gen: 161, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.5973454716470505
Gen: 162, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6075032058027054
Gen: 163, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6180961977773243
Gen: 164, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6285557874043783
Gen: 165, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6387749897109138
Gen: 166, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6490519422292709
Gen: 167, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6591005834605959
Gen: 168, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6690894462002648
Gen: 169, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6798010583056344
Gen: 170, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.6906118394931158
Gen: 171, Best Score: -145.22719915945373, Avg Score: -inf, Time: 1.7018603078524273
Gen: 172, Best Score: -145.22422414460615, Avg Score: -inf, Time: 1.713003972702556
Gen: 173, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.725152670211262
Gen: 174, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.7365766868988672
Gen: 175, Best Score: -145.22422414460615, Avg Score: -inf, Time: 1.7489630250798331
Gen: 176, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.761575115190612
Gen: 177, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.7741361516714096
Gen: 178, Best Score: -145.1824348848886, Avg Score: -inf, Time: 1.7882149585750369
Gen: 179, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.8020061839289134
Gen: 180, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.8157746821641922
Gen: 181, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.8301644417974683
Gen: 182, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.8444861926635105
Gen: 183, Best Score: -145.22321838091608, Avg Score: -inf, Time: 1.8588856518268586
Gen: 184, Best Score: -145.2202433660685, Avg Score: -2.081786595322124e+52, Time: 1.8736078052388296
Gen: 185, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.8873595778809653
Gen: 186, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.9028014776441786
Gen: 187, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.917917740676138
Gen: 188, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.9333119544055726
Gen: 189, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.948538967900806
Gen: 190, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.9638341855340533
Gen: 191, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.9780722359816234
Gen: 192, Best Score: -145.2202433660685, Avg Score: -inf, Time: 1.993329453335868
Gen: 193, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.008696200052897
Gen: 194, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.0234809362888337
Gen: 195, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.0392278643449147
Gen: 196, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.054076095289654
Gen: 197, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.0702241939968533
Gen: 198, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.085547691186269
Gen: 199, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.100580373870002
Gen: 200, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.1157765211661657
Gen: 201, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.1313155133856667
Gen: 202, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.1460668163167105
Gen: 203, Best Score: -145.22422414460615, Avg Score: -inf, Time: 2.1609904510445066
Gen: 204, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.1769428223371508
Gen: 205, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.1930573681990304
Gen: 206, Best Score: -145.2202433660685, Avg Score: -inf, Time: 2.2083363177378974
Gen: 207, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.223796714875433
Gen: 208, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.2388735154602264
Gen: 209, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.254060514701737
Gen: 210, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.26967515832848
Gen: 211, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.284675313565466
Gen: 212, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.3001504396067727
Gen: 213, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.3160959692133796
Gen: 214, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.3319879807366264
Gen: 215, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.347781165242195
Gen: 216, Best Score: -145.15679380082176, Avg Score: -inf, Time: 2.363219780392117
Gen: 217, Best Score: -145.14839622003748, Avg Score: -inf, Time: 2.378233988682429
Gen: 218, Best Score: -145.01806280671758, Avg Score: -inf, Time: 2.3938858385218516
Gen: 219, Best Score: -145.15015985104444, Avg Score: -inf, Time: 2.409589772820473
Gen: 220, Best Score: -145.14839622003748, Avg Score: -inf, Time: 2.424515540467368
Gen: 221, Best Score: -145.14839622003748, Avg Score: -inf, Time: 2.4405121015840106
Gen: 222, Best Score: -145.14839622003748, Avg Score: -inf, Time: 2.456178437537617
