LOADED TRAINER
LOADED GEN NUMBER:  999
Gen: 999, Best Score: -144.3414133947948, Avg Score: -2.548270832506043e+87, Time: 0.0019709664583206178
Validation champ met/exceeded the best test score with (UUID('ff02fc69-5cd8-4b8a-9943-32d7d5f4d5ea'), {'validation': -140.48131344004233}) on test data.
Gen: 1000, Best Score: -140.38703827640003, Avg Score: -2.5558741844279915e+51, Time: 0.005185648070441352
Gen: 1001, Best Score: -144.3414133947948, Avg Score: -2.1809605687191292e+46, Time: 0.006263209846284655
Gen: 1002, Best Score: -144.3414133947948, Avg Score: -1.2526451015892524e+55, Time: 0.007389672729704115
Gen: 1003, Best Score: -144.3414133947948, Avg Score: -5.111417322437712e+69, Time: 0.008544511530134413
Gen: 1004, Best Score: -144.3414133947948, Avg Score: -4.501238930525898e+86, Time: 0.009611712098121642
Gen: 1005, Best Score: -144.3414133947948, Avg Score: -9.044042896020784e+57, Time: 0.010761036276817322
Gen: 1006, Best Score: -144.19790037810287, Avg Score: -2.2693110320891455e+57, Time: 0.01188100450568729
Gen: 1007, Best Score: -144.3414133947948, Avg Score: -8.730772648612434e+103, Time: 0.012939199209213256
Gen: 1008, Best Score: -144.3414133947948, Avg Score: -6.653383194644479e+77, Time: 0.014092323647605048
Gen: 1009, Best Score: -144.3414133947948, Avg Score: -2.644290379885045e+35, Time: 0.015247736639446683
Validation champ met/exceeded the best test score with (UUID('ffa90fc0-6b72-4f57-bc30-537aa95cad73'), {'validation': -140.48131344004233}) on test data.
Gen: 1010, Best Score: -140.38703827640003, Avg Score: -1.490608726091698e+27, Time: 0.01825086017449697
Gen: 1011, Best Score: -144.3414133947948, Avg Score: -1.051815359389472e+57, Time: 0.019342565602726406
Gen: 1012, Best Score: -144.3414133947948, Avg Score: -1.6545468292979236e+54, Time: 0.02048682113488515
Gen: 1013, Best Score: -144.19790037810287, Avg Score: -1.8653870734043868e+48, Time: 0.021618655390209622
Gen: 1014, Best Score: -144.19790037810287, Avg Score: -1.514015247505779e+73, Time: 0.022746208641264174
Gen: 1015, Best Score: -144.19790037810287, Avg Score: -3.892623687934846e+48, Time: 0.023811313774850632
Gen: 1016, Best Score: -144.19790037810287, Avg Score: -5.3988465084362763e+51, Time: 0.02486518363157908
Gen: 1017, Best Score: -144.19790037810287, Avg Score: -3.3152709925806966e+67, Time: 0.025999297433429294
Gen: 1018, Best Score: -144.19790037810287, Avg Score: -1.695783519901783e+57, Time: 0.02715339329507616
Gen: 1019, Best Score: -144.19790037810287, Avg Score: -6.325943722797227e+51, Time: 0.02836352692710029
Validation champ met/exceeded the best test score with (UUID('ffddd0c6-ca21-4bc8-a810-509b2e4d08f2'), {'validation': -227.0865389559712}) on test data.
Gen: 1020, Best Score: -140.3210251677396, Avg Score: -8.760560082258705e+40, Time: 0.0314236052831014
Gen: 1021, Best Score: -144.3414133947948, Avg Score: -9.087647517788571e+71, Time: 0.03251309672991435
Gen: 1022, Best Score: -144.3414133947948, Avg Score: -1.852300210837365e+57, Time: 0.033666386273172165
Gen: 1023, Best Score: -144.3414133947948, Avg Score: -1.083909348052262e+67, Time: 0.03482308831479814
Gen: 1024, Best Score: -144.3414133947948, Avg Score: -4.425082333325685e+54, Time: 0.03589357932408651
Gen: 1025, Best Score: -143.48872280709767, Avg Score: -1.1590460054850575e+55, Time: 0.03698449843459659
